Nimi;URL
181;1106-181
Bora;454-Bora
Caddy;460-Caddy
CC;1262-CC
Corrado;531-Corrado
Crafter;1068-Crafter
Derby;566-Derby
Eos;884-Eos
Fox;654-Fox
Gol;856-Gol
Golf;452-Golf
Golf Plus;957-Golf Plus
Iltis;1096-Iltis
Jetta;540-Jetta
Käfer;617-Käfer
LT;462-LT
Lupo;450-Lupo
Lupo 3L;984-Lupo 3L
New Beetle;453-New Beetle
Passat;456-Passat
Phaeton;459-Phaeton
Polo;451-Polo
Santana;577-Santana
Scirocco;518-Scirocco
Sharan;457-Sharan
Beetle;1308-The Beetle
Tiguan;1045-Tiguan
Touareg;458-Touareg
Touran;455-Touran
Transporter;461-Transporter
Up;1234-Up
Vento;521-Vento
VW-Porsche;621-VW-Porsche
