Nimi;URL
Alfa Romeo;1-Alfa_Romeo
Alpina;61-Alpina
Aston Martin;2-Aston_Martin
Audi;3-Audi
Austin;4-Austin
Bentley;5-Bentley
BMW;6-BMW
Brilliance;141-Brilliance
Buick;8-Buick
Cadillac;9-Cadillac
Chevrolet;10-Chevrolet
Chrysler;11-Chrysler
Citroen;12-Citroen
Dacia;113-Dacia
Daewoo;13-Daewoo
Daihatsu;14-Daihatsu
Dodge;64-Dodge
Ferrari;15-Ferrari
Fiat;16-Fiat
Ford;17-Ford
GAZ;161-GAZ
GMC;142-GMC
Honda;18-Honda
Hummer;117-Hummer
Hyundai;19-Hyundai
Infiniti;129-Infiniti
Isuzu;20-Isuzu
Jaguar;21-Jaguar
Jeep;22-Jeep
Kia;23-Kia
Lada;65-Lada
Lamborghini;66-Lamborghini
Lancia;24-Lancia
Land Rover;25-Land_Rover
Lexus;26-Lexus
Lincoln;187-Lincoln
Lotus;52-Lotus
Maserati;67-Maserati
Mazda;27-Mazda
Mercedes-Benz;28-Mercedes-Benz
Mercury;155-Mercury
MG;29-MG
Mini;30-Mini
Mitsubishi;31-Mitsubishi
Nissan;33-Nissan
Oldsmobile;34-Oldsmobile
Opel;35-Opel
Peugeot;36-Peugeot
Plymouth;37-Plymouth
Pontiac;38-Pontiac
Porsche;39-Porsche
Renault;41-Renault
Rolls-Royce;69-Rolls-Royce
Rover;42-Rover
Saab;43-Saab
Saturn;174-Saturn
Seat;44-Seat
Skoda;45-Skoda
Smart;32-Smart
Ssangyong;46-Ssangyong
Subaru;47-Subaru
Suzuki;48-Suzuki
Tesla;198-Tesla_Motors
Toyota;49-Toyota
Triumph;70-Triumph
UAZ;175-UAZ
Vauxhall;167-Vauxhall
Volkswagen;50-Volkswagen
Volvo;51-Volvo
VAZ;65-Lada
