mark;mudel;algus;lopp;link
Adria;Matrix M 680 SP;2011;...;/testid/uus?id=7617
Alfa Romeo;147;2000;2005;/testid/kasutatud?id=2011
Alfa Romeo;147;2007;...;/testid/uus?id=7431
Alfa Romeo;156;1998;2005;/testid/kasutatud?id=2187
Alfa Romeo;159;2005;2011;/testid/uus?id=7187
Alfa Romeo;159;2005;2011;/testid/kasutatud?id=2256
Alfa Romeo;166;1998;2003;/testid/kasutatud?id=2109
Alfa Romeo;Giulietta;2010;...;/testid/uus?id=7667
Alfa Romeo;Giulietta;2010;...;/testid/uus?id=7584
Alfa Romeo;GT;2007;...;/testid/uus?id=7430
Alfa Romeo;GTV;1995;2005;/testid/kasutatud?id=2198
Alfa Romeo;MiTo;2008;...;/testid/uus?id=7382
Alpina;B6;2008;...;/testid/uus?id=7374
Audi;100;1982;1990;/testid/kasutatud?id=2230
Audi;80;1991;1995;/testid/kasutatud?id=2197
Audi;A1;2010;...;/testid/uus?id=7561
Audi;A2;2000;2005;/testid/kasutatud?id=2174
Audi;A3;1996;2000;/testid/kasutatud?id=2067
Audi;A3;2005;2008;/testid/kasutatud?id=2235
Audi;A3;2012;...;/testid/uus?id=7711
Audi;A3;2013;...;/testid/uus?id=7791&ver=2
Audi;A4;2001;2004;/testid/kasutatud?id=1998
Audi;A4;2004;2007;/testid/kasutatud?id=2226
Audi;A4;2007;...;/testid/uus?id=7332
Audi;A4;2007;...;/testid/kasutatud?id=2318
Audi;A4;2009;...;/testid/uus?id=7477
Audi;A5;2007;2011;/testid/kasutatud?id=2276
Audi;A5;2009;...;/testid/uus?id=7503
Audi;A6;1997;2004;/testid/kasutatud?id=2221
Audi;A6;2004;2008;/testid/kasutatud?id=2107
Audi;A6;2008;2011;/testid/uus?id=7225
Audi;A6;2008;2011;/testid/uus?id=7407
Audi;A6;2011;...;/testid/uus?id=7609
Audi;A6;1994;1997;/testid/kasutatud?id=2004
Audi;A6;1994;1997;/testid/kasutatud?id=2095
Audi;A7;2010;...;/testid/uus?id=7580
Audi;A8;1994;1999;/testid/kasutatud?id=2051
Audi;A8;2002;2007;/testid/kasutatud?id=2131
Audi;A8;2010;...;/testid/uus?id=7554
Audi;Allroad;2000;2006;/testid/kasutatud?id=2044
Audi;Coupe;1989;1991;/testid/kasutatud?id=2038
Audi;Q3;2011;...;/testid/uus?id=7645
Audi;Q5;2008;...;/testid/uus?id=7405
Audi;Q5 Hybrid;2012;...;/testid/uus?id=7674
Audi;Q7;2006;...;/testid/kasutatud?id=2288
Audi;R8;2007;...;/testid/uus?id=7281
Audi;RS4;2006;...;/testid/uus?id=7231
