id;pikk_mudel;kytus;kaigukast;alates;kuni
34740;"147 1.6 T.Spark 16V Impression";B;H5;2005;2007
44273;"147 1.6 T.Spark 16V Blackline";B;H5;2006;2007
34747;"147 1.6 T.Spark 16V Progression";B;H5;2005;2007
34747;"147 1.6 T.Spark 16V Progression";B;H5;2005;2007
34746;"147 1.6 T.Spark 16V Distinctive";B;H5;2005;2007
44279;"147 1.6 T.Spark 16V Collezione";B;H5;2006;2007
34753;"147 1.6 T.Spark 16V Veloce Impression";B;H5;2005;2007
34753;"147 1.6 T.Spark 16V Veloce Impression";B;H5;2005;2007
44275;"147 1.6 T.Spark 16V Veloce Blackline";B;H5;2006;2007
34752;"147 1.6 T.Spark 16V Veloce Progression";B;H5;2005;2007
34751;"147 1.6 T.Spark 16V Veloce Distinctive";B;H5;2005;2007
34751;"147 1.6 T.Spark 16V Veloce Distinctive";B;H5;2005;2007
44281;"147 1.6 T.Spark 16V Veloce Collezione";B;H5;2006;2007
34757;"147 2.0 T.Spark 16V Distinctive";B;H5;2005;2007
44284;"147 2.0 T.Spark 16V Collezione";B;H5;2006;2007
44284;"147 2.0 T.Spark 16V Collezione";B;H5;2006;2007
34756;"147 2.0 T.Spark 16V Selespeed Distinctive";B;A5;2005;2007
44285;"147 2.0 T.Spark 16V Selespeed Collezione";B;A5;2006;2007
34759;"147 1.9 JTD 100pk Impression";D;H5;2005;2006
34759;"147 1.9 JTD 100pk Impression";D;H5;2005;2006
34761;"147 1.9 JTD 115pk Impression";D;H5;2005;2006
34763;"147 1.9 JTD 115pk Progression";D;H5;2005;2006
34765;"147 1.9 JTD 115pk Distinctive";D;H5;2005;2006
34765;"147 1.9 JTD 115pk Distinctive";D;H5;2005;2006
42581;"147 1.9 JTD 120pk Impression";D;H5;2006;2007
44277;"147 1.9 JTD 120pk Blackline";D;H5;2006;2007
42582;"147 1.9 JTD 120pk Progression";D;H5;2006;2007
42582;"147 1.9 JTD 120pk Progression";D;H5;2006;2007
42583;"147 1.9 JTD 120pk Distinctive";D;H5;2006;2007
44286;"147 1.9 JTD 120pk Collezione";D;H5;2006;2007
34769;"147 1.9 JTD 16V Progression";D;H6;2005;2007
34769;"147 1.9 JTD 16V Progression";D;H6;2005;2007
34768;"147 1.9 JTD 16V Distinctive";D;H6;2005;2007
44287;"147 1.9 JTD 16V Collezione";D;H6;2006;2007
