id;pikk_mudel;kytus;kaigukast;alates;kuni
34625;"GT 1.8 T.Spark 16V Impression";B;H5;2005;2007
34627;"GT 1.8 T.Spark 16V Progression";B;H5;2005;2007
34626;"GT 1.8 T.Spark 16V Distinctive";B;H5;2005;2007
34626;"GT 1.8 T.Spark 16V Distinctive";B;H5;2005;2007
44268;"GT 1.8 T.Spark 16V Collezione";B;H5;2006;2007
30583;"GT 2.0 JTS 16V Progression";B;H5;2004;2007
30585;"GT 2.0 JTS 16V Distinctive";B;H5;2004;2007
30585;"GT 2.0 JTS 16V Distinctive";B;H5;2004;2007
44269;"GT 2.0 JTS 16V Collezione";B;H5;2006;2007
30586;"GT 2.0 JTS 16V Selespeed Distinctive";B;A5;2004;2007
44270;"GT 2.0 JTS 16V Selespeed Collezione";B;A5;2006;2007
44270;"GT 2.0 JTS 16V Selespeed Collezione";B;A5;2006;2007
30587;"GT 3.2 V6 24V Distinctive";B;H6;2004;2007
34628;"GT 1.9 JTDm 16V Impression";D;H6;2005;2007
30588;"GT 1.9 JTDm 16V Progression";D;H6;2004;2007
30588;"GT 1.9 JTDm 16V Progression";D;H6;2004;2007
30589;"GT 1.9 JTDm 16V Distinctive";D;H6;2004;2007
44271;"GT 1.9 JTDm 16V Collezione";D;H6;2006;2007
