id;pikk_mudel;kytus;kaigukast;alates;kuni
16047;"GTV 1.8 T.Spark 16V";B;H5;1998;2001
16048;"GTV 2.0 T.Spark 16V";B;H5;1998;1999
16049;"GTV 2.0 T.Spark 16V L";B;H5;1998;2001
16049;"GTV 2.0 T.Spark 16V L";B;H5;1998;2001
27025;"GTV 2.0 T.Spark 16V L";B;H5;2001;2002
27035;"GTV 2.0 T.Spark 16V";B;H5;2002;2003
27034;"GTV 2.0 T.Spark 16V Elegante";B;H5;2002;2003
27034;"GTV 2.0 T.Spark 16V Elegante";B;H5;2002;2003
27033;"GTV 2.0 T.Spark 16V Sportivo";B;H5;2002;2003
16050;"GTV 2.0 V6 TB L";B;H5;1998;2001
16051;"GTV 3.0 V6 24V";B;H6;1998;1999
16051;"GTV 3.0 V6 24V";B;H6;1998;1999
16052;"GTV 3.0 V6 24V L";B;H6;1998;2001
27026;"GTV 3.0 V6 24V L";B;H6;2001;2002
27038;"GTV 3.0 V6 24V L";B;H6;2002;2003
27038;"GTV 3.0 V6 24V L";B;H6;2002;2003
27037;"GTV 3.0 V6 24V Elegante";B;H6;2002;2003
27036;"GTV 3.0 V6 24V Sportivo";B;H6;2002;2003
