id;pikk_mudel;kytus;kaigukast;alates;kuni
76284;"Giulietta 1.4 Turbo 105 Impression";B;H6;2014;heden
76286;"Giulietta 1.4 Turbo 105 Progression";B;H6;2014;heden
76287;"Giulietta 1.4 Turbo 105 Distinctive";B;H6;2014;heden
76287;"Giulietta 1.4 Turbo 105 Distinctive";B;H6;2014;heden
76288;"Giulietta 1.4 Turbo 120 Distinctive";B;H6;2014;heden
76289;"Giulietta 1.4 Turbo MultiAir Progression";B;H6;2014;heden
76290;"Giulietta 1.4 Turbo MultiAir Progression";B;A6;2014;heden
76290;"Giulietta 1.4 Turbo MultiAir Progression";B;A6;2014;heden
76292;"Giulietta 1.4 Turbo MultiAir Distinctive";B;H6;2014;heden
76291;"Giulietta 1.4 Turbo MultiAir Distinctive";B;A6;2014;heden
76294;"Giulietta 1.4 Turbo MultiAir Exclusive";B;H6;2014;heden
76294;"Giulietta 1.4 Turbo MultiAir Exclusive";B;H6;2014;heden
76293;"Giulietta 1.4 Turbo MultiAir Exclusive";B;A6;2014;heden
76295;"Giulietta 1.750 TBi Quadrifoglio Verde";B;H6;2014;heden
76296;"Giulietta 1.6 JTDm 105 Progression";D;H6;2014;heden
76296;"Giulietta 1.6 JTDm 105 Progression";D;H6;2014;heden
76297;"Giulietta 1.6 JTDm 105 Distinctive";D;H6;2014;heden
76298;"Giulietta 1.6 JTDm 105 Exclusive";D;H6;2014;heden
76302;"Giulietta 2.0 JTDm 150 Distinctive";D;H6;2014;heden
76302;"Giulietta 2.0 JTDm 150 Distinctive";D;H6;2014;heden
76300;"Giulietta 2.0 JTDm 150 Exclusive";D;H6;2014;heden
76301;"Giulietta 2.0 JTDm 175 Distinctive";D;A6;2014;heden
76299;"Giulietta 2.0 JTDm 175 Exclusive";D;A6;2014;heden
76299;"Giulietta 2.0 JTDm 175 Exclusive";D;A6;2014;heden
