id;pikk_mudel;kytus;kaigukast;alates;kuni
53307;"Spider 1750 Turbo";B;H6;2009;2010
58726;"Spider 1750 Turbo Sport";B;H6;2010;2011
49877;"Spider 2.2 JTS";B;H6;2008;2009
49877;"Spider 2.2 JTS";B;H6;2008;2009
49879;"Spider 2.2 JTS";B;A6;2008;2010
49883;"Spider 3.2 JTS V6";B;H6;2008;2010
49882;"Spider 3.2 JTS V6 Q4";B;H6;2008;2009
49882;"Spider 3.2 JTS V6 Q4";B;H6;2008;2009
49881;"Spider 3.2 JTS V6 Q4";B;A6;2008;2010
53308;"Spider 2.0 JTDm 16v";D;H6;2009;2010
49880;"Spider 2.4 JTDm 20v";D;H6;2008;2010
49880;"Spider 2.4 JTDm 20v";D;H6;2008;2010
49885;"Spider 2.4 JTDm 20v";D;A6;2008;2010
