id;pikk_mudel;kytus;kaigukast;alates;kuni
6891;"100 2.0 E 74kW";B;H5;1991;1993
7567;"100 2.0 E 85kW";B;H5;1992;1994
7568;"100 2.0 E 85kW";B;A4;1992;1994
7568;"100 2.0 E 85kW";B;A4;1992;1994
6892;"100 2.3 E";B;H5;1991;1994
6893;"100 2.3 E";B;A4;1991;1993
6894;"100 2.3 E Quattro";B;H5;1991;1992
6894;"100 2.3 E Quattro";B;H5;1991;1992
7569;"100 2.6 E";B;H5;1992;1994
7570;"100 2.6 E";B;A4;1992;1994
7571;"100 2.6 E Quattro";B;H5;1992;1994
7571;"100 2.6 E Quattro";B;H5;1992;1994
7572;"100 2.6 E Quattro";B;A4;1992;1994
6895;"100 2.8 E";B;H5;1991;1994
6896;"100 2.8 E";B;A4;1991;1994
6896;"100 2.8 E";B;A4;1991;1994
6897;"100 2.8 E Quattro";B;H5;1991;1994
6898;"100 2.8 E Quattro";B;A4;1991;1994
6899;"100 S4";B;H6;1991;1994
6899;"100 S4";B;H6;1991;1994
7573;"100 S4";B;A4;1992;1994
8448;"100 S4 4.2";B;A4;1993;1994
6900;"100 2.4 D";D;H5;1991;1994
6900;"100 2.4 D";D;H5;1991;1994
6901;"100 2.5 TDI";D;H5;1991;1994
8449;"100 2.5 TDI";D;A4;1993;1994
