id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
793;A6;"4-deurs sedan";1994;1997;36;A6;20606
797;A6;"4-deurs sedan";1997;2001;36;A6;21658
801;A6;"4-deurs sedan";2001;2004;36;A6;24038
805;A6;"4-deurs sedan";2004;2008;36;A6;26882
3029;A6;"4-deurs sedan";2008;2011;36;A6;81897
3479;A6;"4-deurs sedan";2011;heden;36;A6;97793
809;"A6 allroad";"5-deurs stationwagon";2006;2008;36;"A6 Allroad";16999
3030;"A6 allroad";"5-deurs stationwagon";2008;2011;36;"A6 Allroad";81914
3720;"A6 Allroad";"5-deurs stationwagon";2012;heden;36;A6;121073
795;"A6 Avant";"5-deurs stationwagon";1994;1997;36;A6;20610
799;"A6 Avant";"5-deurs stationwagon";1998;2001;36;A6;22087
803;"A6 Avant";"5-deurs stationwagon";2001;2004;36;A6;24046
807;"A6 Avant";"5-deurs stationwagon";2005;2008;36;A6;27961
3031;"A6 Avant";"5-deurs stationwagon";2008;2011;36;A6;81902
3543;"A6 Avant";"5-deurs stationwagon";2011;heden;36;A6;105215
3224;RS6;"4-deurs sedan";2002;2004;36;A6;24053
3225;RS6;"4-deurs sedan";2008;2010;36;A6;84887
3226;"RS6 Avant";"5-deurs stationwagon";2002;2004;36;A6;24060
3227;"RS6 Avant";"5-deurs stationwagon";2008;2010;36;A6;45098
3993;"RS6 Avant";"5-deurs stationwagon";2013;heden;36;A6;147705
3247;S6;"4-deurs sedan";1994;1997;36;A6;20617
3248;S6;"4-deurs sedan";1999;2001;36;A6;21662
3249;S6;"4-deurs sedan";2001;2004;36;A6;24084
3250;S6;"4-deurs sedan";2006;2008;36;A6;30322
3251;S6;"4-deurs sedan";2008;2011;36;A6;81897
3844;S6;"4-deurs sedan";2012;heden;36;A6;128728
3252;"S6 Avant";"5-deurs stationwagon";1994;1997;36;A6;20621
3253;"S6 Avant";"5-deurs stationwagon";1999;2001;36;A6;22090
3254;"S6 Avant";"5-deurs stationwagon";2001;2004;36;A6;24090
3255;"S6 Avant";"5-deurs stationwagon";2006;2008;36;A6;17860
3256;"S6 Avant";"5-deurs stationwagon";2008;2011;36;A6;81902
3845;"S6 Avant";"5-deurs stationwagon";2012;heden;36;A6;110120
