id;pikk_mudel;kytus;kaigukast;alates;kuni
17785;"A3 1.6 Attraction";B;H5;1999;2000
17786;"A3 1.6 Attraction";B;A4;1999;2000
17787;"A3 1.6 Ambition";B;H5;1999;2000
17787;"A3 1.6 Ambition";B;H5;1999;2000
17788;"A3 1.6 Ambition";B;A4;1999;2000
17789;"A3 1.6 Ambiente";B;H5;1999;2000
17790;"A3 1.6 Ambiente";B;A4;1999;2000
17790;"A3 1.6 Ambiente";B;A4;1999;2000
17791;"A3 1.8 5V Attraction";B;H5;1999;2000
17792;"A3 1.8 5V Attraction";B;A4;1999;2000
17793;"A3 1.8 5V Ambition";B;H5;1999;2000
17793;"A3 1.8 5V Ambition";B;H5;1999;2000
17794;"A3 1.8 5V Ambition";B;A4;1999;2000
17795;"A3 1.8 5V Ambiente";B;H5;1999;2000
17796;"A3 1.8 5V Ambiente";B;A4;1999;2000
17796;"A3 1.8 5V Ambiente";B;A4;1999;2000
17797;"A3 1.8 5V Turbo Attraction";B;H5;1999;2000
17798;"A3 1.8 5V Turbo Attraction";B;A4;1999;2000
17799;"A3 1.8 5V Turbo Ambition";B;H5;1999;2000
17799;"A3 1.8 5V Turbo Ambition";B;H5;1999;2000
17800;"A3 1.8 5V Turbo Ambition";B;A4;1999;2000
17801;"A3 1.8 5V Turbo Ambiente";B;H5;1999;2000
17802;"A3 1.8 5V Turbo Ambiente";B;A4;1999;2000
17802;"A3 1.8 5V Turbo Ambiente";B;A4;1999;2000
17803;"A3 1.8 5V Turbo quattro Attraction";B;H5;1999;2000
17804;"A3 1.8 5V Turbo quattro Ambition";B;H5;1999;2000
17805;"A3 1.8 5V Turbo quattro Ambiente";B;H5;1999;2000
17805;"A3 1.8 5V Turbo quattro Ambiente";B;H5;1999;2000
17806;"A3 1.8 5V Turbo 180pk Attraction";B;H5;1999;2000
17807;"A3 1.8 5V Turbo 180pk Ambition";B;H5;1999;2000
17808;"A3 1.8 5V Turbo 180pk Ambiente";B;H5;1999;2000
17808;"A3 1.8 5V Turbo 180pk Ambiente";B;H5;1999;2000
17809;"A3 1.8 5V Turbo 180pk quattro Attraction";B;H5;1999;2000
17810;"A3 1.8 5V Turbo 180pk quattro Ambition";B;H5;1999;2000
17811;"A3 1.8 5V Turbo 180pk quattro Ambiente";B;H5;1999;2000
17811;"A3 1.8 5V Turbo 180pk quattro Ambiente";B;H5;1999;2000
17812;"A3 1.9 TDI 90pk Attraction";D;H5;1999;2000
17813;"A3 1.9 TDI 90pk Attraction";D;A4;1999;2000
17814;"A3 1.9 TDI 90pk Ambition";D;H5;1999;2000
17814;"A3 1.9 TDI 90pk Ambition";D;H5;1999;2000
17815;"A3 1.9 TDI 90pk Ambition";D;A4;1999;2000
17816;"A3 1.9 TDI 90pk Ambiente";D;H5;1999;2000
17817;"A3 1.9 TDI 90pk Ambiente";D;A4;1999;2000
17817;"A3 1.9 TDI 90pk Ambiente";D;A4;1999;2000
17818;"A3 1.9 TDI 110pk Attraction";D;H5;1999;2000
17819;"A3 1.9 TDI 110pk Attraction";D;A4;1999;2000
17820;"A3 1.9 TDI 110pk Ambition";D;H5;1999;2000
17820;"A3 1.9 TDI 110pk Ambition";D;H5;1999;2000
17821;"A3 1.9 TDI 110pk Ambition";D;A4;1999;2000
17822;"A3 1.9 TDI 110pk Ambiente";D;H5;1999;2000
17823;"A3 1.9 TDI 110pk Ambiente";D;A4;1999;2000
17823;"A3 1.9 TDI 110pk Ambiente";D;A4;1999;2000
