id;pikk_mudel;kytus;kaigukast;alates;kuni
62890;"A5 Cabriolet 1.8 TFSI";B;H6;2011;heden
64060;"A5 Cabriolet 1.8 TFSI";B;A1;2012;heden
62912;"A5 Cabriolet 1.8 TFSI Pro Line";B;H6;2011;heden
62912;"A5 Cabriolet 1.8 TFSI Pro Line";B;H6;2011;heden
64061;"A5 Cabriolet 1.8 TFSI Pro Line";B;A1;2012;heden
64066;"A5 Cabriolet 1.8 TFSI Pro Line S";B;H6;2012;heden
64067;"A5 Cabriolet 1.8 TFSI Pro Line S";B;A1;2012;heden
64067;"A5 Cabriolet 1.8 TFSI Pro Line S";B;A1;2012;heden
66902;"A5 Cabriolet 2.0 TFSI 211pk";B;H6;2012;2013
62892;"A5 Cabriolet 2.0 TFSI 211pk";B;A1;2011;2013
66903;"A5 Cabriolet 2.0 TFSI 211pk Pro Line";B;H6;2012;2013
66903;"A5 Cabriolet 2.0 TFSI 211pk Pro Line";B;H6;2012;2013
62913;"A5 Cabriolet 2.0 TFSI 211pk Pro Line";B;A1;2011;2013
66904;"A5 Cabriolet 2.0 TFSI 211pk Pro Line S";B;H6;2012;2013
64068;"A5 Cabriolet 2.0 TFSI 211pk Pro Line S";B;A1;2012;2013
64068;"A5 Cabriolet 2.0 TFSI 211pk Pro Line S";B;A1;2012;2013
62893;"A5 Cabriolet 2.0 TFSI 211pk quattro";B;A7;2011;2013
62914;"A5 Cabriolet 2.0 TFSI 211pk quattro Pro Line";B;A7;2011;2013
64069;"A5 Cabriolet 2.0 TFSI 211pk quattro Pro Line S";B;A7;2012;2013
64069;"A5 Cabriolet 2.0 TFSI 211pk quattro Pro Line S";B;A7;2012;2013
73329;"A5 Cabriolet 2.0 TFSI 225pk";B;H6;2013;heden
73330;"A5 Cabriolet 2.0 TFSI 225pk";B;A1;2013;heden
73331;"A5 Cabriolet 2.0 TFSI 225pk Pro Line";B;H6;2013;heden
73331;"A5 Cabriolet 2.0 TFSI 225pk Pro Line";B;H6;2013;heden
73332;"A5 Cabriolet 2.0 TFSI 225pk Pro Line";B;A1;2013;heden
73333;"A5 Cabriolet 2.0 TFSI 225pk Pro Line S";B;H6;2013;heden
73334;"A5 Cabriolet 2.0 TFSI 225pk Pro Line S";B;A1;2013;heden
73334;"A5 Cabriolet 2.0 TFSI 225pk Pro Line S";B;A1;2013;heden
73335;"A5 Cabriolet 2.0 TFSI 225pk quattro";B;A7;2013;heden
73336;"A5 Cabriolet 2.0 TFSI 225pk quattro Pro Line";B;A7;2013;heden
73337;"A5 Cabriolet 2.0 TFSI 225pk quattro Pro Line S";B;A7;2013;heden
73337;"A5 Cabriolet 2.0 TFSI 225pk quattro Pro Line S";B;A7;2013;heden
64062;"A5 Cabriolet 3.0 TFSI quattro";B;A7;2012;heden
64063;"A5 Cabriolet 3.0 TFSI quattro Pro Line";B;A7;2012;heden
64070;"A5 Cabriolet 3.0 TFSI quattro Pro Line S";B;A7;2012;heden
64070;"A5 Cabriolet 3.0 TFSI quattro Pro Line S";B;A7;2012;heden
68855;"A5 Cabriolet 2.0 TDI 143pk";D;H6;2012;2013
68856;"A5 Cabriolet 2.0 TDI 143pk Pro Line";D;H6;2012;2013
68857;"A5 Cabriolet 2.0 TDI 143pk Pro Line S";D;H6;2012;2013
68857;"A5 Cabriolet 2.0 TDI 143pk Pro Line S";D;H6;2012;2013
73344;"A5 Cabriolet 2.0 TDI 150pk";D;H6;2013;heden
73345;"A5 Cabriolet 2.0 TDI 150pk Pro Line";D;H6;2013;heden
73346;"A5 Cabriolet 2.0 TDI 150pk Pro Line S";D;H6;2013;heden
73346;"A5 Cabriolet 2.0 TDI 150pk Pro Line S";D;H6;2013;heden
62894;"A5 Cabriolet 2.0 TDI 177pk";D;H6;2011;heden
64064;"A5 Cabriolet 2.0 TDI 177pk";D;A1;2012;heden
62915;"A5 Cabriolet 2.0 TDI 177pk Pro Line";D;H6;2011;heden
62915;"A5 Cabriolet 2.0 TDI 177pk Pro Line";D;H6;2011;heden
64065;"A5 Cabriolet 2.0 TDI 177pk Pro Line";D;A1;2012;heden
64071;"A5 Cabriolet 2.0 TDI 177pk Pro Line S";D;H6;2012;heden
64072;"A5 Cabriolet 2.0 TDI 177pk Pro Line S";D;A1;2012;heden
64072;"A5 Cabriolet 2.0 TDI 177pk Pro Line S";D;A1;2012;heden
66908;"A5 Cabriolet 2.0 TDI 177pk quattro";D;H6;2012;heden
66909;"A5 Cabriolet 2.0 TDI 177pk quattro Pro Line";D;H6;2012;heden
66910;"A5 Cabriolet 2.0 TDI 177pk quattro Pro Line S";D;H6;2012;heden
66910;"A5 Cabriolet 2.0 TDI 177pk quattro Pro Line S";D;H6;2012;heden
62895;"A5 Cabriolet 3.0 TDI 204pk";D;A1;2011;heden
62916;"A5 Cabriolet 3.0 TDI 204pk Pro Line";D;A1;2011;heden
64073;"A5 Cabriolet 3.0 TDI 204pk Pro Line S";D;A1;2012;heden
64073;"A5 Cabriolet 3.0 TDI 204pk Pro Line S";D;A1;2012;heden
62896;"A5 Cabriolet 3.0 TDI 245pk quattro";D;A7;2011;heden
62917;"A5 Cabriolet 3.0 TDI 245pk quattro Pro Line";D;A7;2011;heden
64074;"A5 Cabriolet 3.0 TDI 245pk quattro Pro Line S";D;A7;2012;heden
64074;"A5 Cabriolet 3.0 TDI 245pk quattro Pro Line S";D;A7;2012;heden
