id;pikk_mudel;kytus;kaigukast;alates;kuni
48814;"Q7 3.6 FSI quattro";B;H6;2008;2008
44445;"Q7 3.6 FSI quattro";B;A6;2007;2009
48815;"Q7 3.6 FSI quattro Pro Line";B;H6;2008;2008
48815;"Q7 3.6 FSI quattro Pro Line";B;H6;2008;2008
44446;"Q7 3.6 FSI quattro Pro Line";B;A6;2007;2009
48816;"Q7 3.6 FSI quattro Pro Line +";B;H6;2008;2008
44447;"Q7 3.6 FSI quattro Pro Line +";B;A6;2007;2009
44447;"Q7 3.6 FSI quattro Pro Line +";B;A6;2007;2009
40703;"Q7 4.2 FSI quattro";B;A6;2006;2009
40705;"Q7 4.2 FSI quattro Pro Line";B;A6;2006;2009
40707;"Q7 4.2 FSI quattro Pro Line +";B;A6;2006;2009
40707;"Q7 4.2 FSI quattro Pro Line +";B;A6;2006;2009
40704;"Q7 3.0 TDI quattro";D;A6;2006;2008
40706;"Q7 3.0 TDI quattro Pro Line";D;A6;2006;2008
40708;"Q7 3.0 TDI quattro Pro Line +";D;A6;2006;2008
40708;"Q7 3.0 TDI quattro Pro Line +";D;A6;2006;2008
51127;"Q7 3.0 TDI quattro";D;A6;2008;2009
51128;"Q7 3.0 TDI quattro Pro Line";D;A6;2008;2009
51129;"Q7 3.0 TDI quattro Pro Line +";D;A6;2008;2009
51129;"Q7 3.0 TDI quattro Pro Line +";D;A6;2008;2009
46272;"Q7 4.2 TDI quattro";D;A6;2007;2009
46273;"Q7 4.2 TDI quattro Pro Line";D;A6;2007;2009
46274;"Q7 4.2 TDI quattro Pro Line +";D;A6;2007;2009
46274;"Q7 4.2 TDI quattro Pro Line +";D;A6;2007;2009
