id;pikk_mudel;kytus;kaigukast;alates;kuni
57168;"Q7 3.0 TFSI 272pk quattro";B;A8;2010;heden
57169;"Q7 3.0 TFSI 272pk quattro Pro Line";B;A8;2010;heden
57170;"Q7 3.0 TFSI 272pk quattro Pro Line +";B;A8;2010;heden
57170;"Q7 3.0 TFSI 272pk quattro Pro Line +";B;A8;2010;heden
70055;"Q7 3.0 TFSI 272pk quattro Pro Line S";B;A8;2012;heden
57171;"Q7 3.0 TFSI 333pk quattro";B;A8;2010;heden
57172;"Q7 3.0 TFSI 333pk quattro Pro Line";B;A8;2010;heden
57172;"Q7 3.0 TFSI 333pk quattro Pro Line";B;A8;2010;heden
57173;"Q7 3.0 TFSI 333pk quattro Pro Line +";B;A8;2010;heden
70056;"Q7 3.0 TFSI 333pk quattro Pro Line S";B;A8;2012;heden
54915;"Q7 3.6 FSI quattro";B;A6;2009;2010
54915;"Q7 3.6 FSI quattro";B;A6;2009;2010
54918;"Q7 3.6 FSI quattro Pro Line";B;A6;2009;2010
54917;"Q7 3.6 FSI quattro Pro Line +";B;A6;2009;2010
54921;"Q7 4.2 FSI quattro";B;A6;2009;2010
54921;"Q7 4.2 FSI quattro";B;A6;2009;2010
54920;"Q7 4.2 FSI quattro Pro Line";B;A6;2009;2010
54919;"Q7 4.2 FSI quattro Pro Line +";B;A6;2009;2010
60051;"Q7 3.0 TDI 204pk quattro";D;A8;2011;heden
60051;"Q7 3.0 TDI 204pk quattro";D;A8;2011;heden
60052;"Q7 3.0 TDI 204pk quattro Pro Line";D;A8;2011;heden
60053;"Q7 3.0 TDI 204pk quattro Pro Line +";D;A8;2011;heden
70057;"Q7 3.0 TDI 204pk quattro Pro Line S";D;A8;2012;heden
70057;"Q7 3.0 TDI 204pk quattro Pro Line S";D;A8;2012;heden
54924;"Q7 3.0 TDI quattro";D;A6;2009;2010
54923;"Q7 3.0 TDI quattro Pro Line";D;A6;2009;2010
54922;"Q7 3.0 TDI quattro Pro Line +";D;A6;2009;2010
54922;"Q7 3.0 TDI quattro Pro Line +";D;A6;2009;2010
57174;"Q7 3.0 TDI 240pk quattro";D;A8;2010;2011
57175;"Q7 3.0 TDI 240pk quattro Pro Line";D;A8;2010;2011
57176;"Q7 3.0 TDI 240pk quattro Pro Line +";D;A8;2010;2011
57176;"Q7 3.0 TDI 240pk quattro Pro Line +";D;A8;2010;2011
62000;"Q7 3.0 TDI 245pk quattro";D;A8;2011;heden
62001;"Q7 3.0 TDI 245pk quattro Pro Line";D;A8;2011;heden
62002;"Q7 3.0 TDI 245pk quattro Pro Line +";D;A8;2011;heden
62002;"Q7 3.0 TDI 245pk quattro Pro Line +";D;A8;2011;heden
70058;"Q7 3.0 TDI 245pk quattro Pro Line S";D;A8;2012;heden
54929;"Q7 3.0 TDI clean diesel quattro";D;A6;2009;2010
54930;"Q7 3.0 TDI clean diesel quattro Pro Line";D;A6;2009;2010
54930;"Q7 3.0 TDI clean diesel quattro Pro Line";D;A6;2009;2010
54931;"Q7 3.0 TDI clean diesel quattro Pro Line +";D;A6;2009;2010
57177;"Q7 3.0 TDI 240pk clean diesel quattro";D;A8;2010;2011
57178;"Q7 3.0 TDI 240pk clean diesel quattro Pro Line";D;A8;2010;2011
57178;"Q7 3.0 TDI 240pk clean diesel quattro Pro Line";D;A8;2010;2011
57179;"Q7 3.0 TDI 240pk clean diesel quattro Pro Line +";D;A8;2010;2011
62003;"Q7 3.0 TDI 245pk clean diesel quattro";D;A8;2011;heden
62004;"Q7 3.0 TDI 245pk clean diesel quattro Pro Line";D;A8;2011;heden
62004;"Q7 3.0 TDI 245pk clean diesel quattro Pro Line";D;A8;2011;heden
62005;"Q7 3.0 TDI 245pk clean diesel quattro Pro Line +";D;A8;2011;heden
70059;"Q7 3.0 TDI 245pk clean diesel quattro Pro Line S";D;A8;2012;heden
54927;"Q7 4.2 TDI quattro";D;A6;2009;2010
54927;"Q7 4.2 TDI quattro";D;A6;2009;2010
54926;"Q7 4.2 TDI quattro Pro Line";D;A6;2009;2010
54925;"Q7 4.2 TDI quattro Pro Line +";D;A6;2009;2010
57180;"Q7 4.2 TDI quattro";D;A8;2010;heden
57180;"Q7 4.2 TDI quattro";D;A8;2010;heden
57181;"Q7 4.2 TDI quattro Pro Line";D;A8;2010;heden
57182;"Q7 4.2 TDI quattro Pro Line +";D;A8;2010;heden
70060;"Q7 4.2 TDI quattro Pro Line S";D;A8;2012;heden
70060;"Q7 4.2 TDI quattro Pro Line S";D;A8;2012;heden
51658;"Q7 6.0 V12 TDI quattro";D;A6;2009;2012
