id;pikk_mudel;kytus;kaigukast;alates;kuni
27274;"TT Roadster 1.8 5V Turbo 150pk";B;H5;2002;2005
41736;"TT Roadster 1.8 5V Turbo 163pk";B;H5;2005;2006
41748;"TT Roadster 1.8 5V Turbo 163pk Advance";B;H5;2005;2006
41748;"TT Roadster 1.8 5V Turbo 163pk Advance";B;H5;2005;2006
17908;"TT Roadster 1.8 5V Turbo 180pk";B;H5;1999;2005
27276;"TT Roadster 1.8 5V Turbo 180pk";B;A6;2002;2005
17909;"TT Roadster 1.8 5V Turbo quattro 180pk";B;H6;1999;2005
17909;"TT Roadster 1.8 5V Turbo quattro 180pk";B;H6;1999;2005
41740;"TT Roadster 1.8 5V Turbo 190pk";B;H5;2005;2006
41741;"TT Roadster 1.8 5V Turbo 190pk";B;A6;2005;2006
41750;"TT Roadster 1.8 5V Turbo 190pk Advance";B;H5;2005;2006
41750;"TT Roadster 1.8 5V Turbo 190pk Advance";B;H5;2005;2006
41749;"TT Roadster 1.8 5V Turbo 190pk Advance";B;A6;2005;2006
41742;"TT Roadster 1.8 5V Turbo quattro 190pk";B;H6;2005;2006
17910;"TT Roadster 1.8 5V Turbo quattro 225pk";B;H6;1999;2005
17910;"TT Roadster 1.8 5V Turbo quattro 225pk";B;H6;1999;2005
34516;"TT Roadster 3.2 quattro";B;H6;2004;2006
29445;"TT Roadster 3.2 quattro";B;A6;2003;2006
41752;"TT Roadster 3.2 quattro Advance";B;H6;2005;2006
41752;"TT Roadster 3.2 quattro Advance";B;H6;2005;2006
41751;"TT Roadster 3.2 quattro Advance";B;A6;2005;2006
