id;pikk_mudel;kytus;kaigukast;alates;kuni
17916;316i;B;H5;1999;2001
17917;316i;B;A4;1999;2001
17918;"316i Executive";B;H5;1999;2001
17918;"316i Executive";B;H5;1999;2001
17919;"316i Executive";B;A4;1999;2001
16139;318i;B;H5;1998;2001
16140;318i;B;A4;1998;2001
16140;318i;B;A4;1998;2001
16141;"318i Executive";B;H5;1998;2001
16142;"318i Executive";B;A4;1998;2001
16143;320i;B;H5;1998;2000
16143;320i;B;H5;1998;2000
16144;320i;B;A5;1998;2000
16145;"320i Executive";B;H5;1998;2000
16146;"320i Executive";B;A5;1998;2000
16146;"320i Executive";B;A5;1998;2000
20477;320i;B;H5;2000;2001
20478;320i;B;A5;2000;2001
20479;"320i Executive";B;H5;2000;2001
20479;"320i Executive";B;H5;2000;2001
20480;"320i Executive";B;A5;2000;2001
16147;323i;B;H5;1998;2000
16148;323i;B;A5;1998;2000
16148;323i;B;A5;1998;2000
16149;"323i Executive";B;H5;1998;2000
16150;"323i Executive";B;A5;1998;2000
20481;325i;B;H5;2000;2001
20481;325i;B;H5;2000;2001
20482;325i;B;A5;2000;2001
20483;"325i Executive";B;H5;2000;2001
20484;"325i Executive";B;A5;2000;2001
20484;"325i Executive";B;A5;2000;2001
20485;325xi;B;H5;2000;2001
20486;325xi;B;A5;2000;2001
20487;"325xi Executive";B;H5;2000;2001
20487;"325xi Executive";B;H5;2000;2001
20488;"325xi Executive";B;A5;2000;2001
16151;328i;B;H5;1998;2000
16152;328i;B;A5;1998;2000
16152;328i;B;A5;1998;2000
16153;"328i Executive";B;H5;1998;2000
16154;"328i Executive";B;A5;1998;2000
20489;330i;B;H5;2000;2001
20489;330i;B;H5;2000;2001
20490;330i;B;A5;2000;2001
20491;"330i Executive";B;H5;2000;2001
20492;"330i Executive";B;A5;2000;2001
20492;"330i Executive";B;A5;2000;2001
20493;330xi;B;H5;2000;2001
20494;330xi;B;A5;2000;2001
20495;"330xi Executive";B;H5;2000;2001
20495;"330xi Executive";B;H5;2000;2001
20496;"330xi Executive";B;A5;2000;2001
16155;320d;D;H5;1998;2001
20497;320d;D;A5;2000;2001
20497;320d;D;A5;2000;2001
16156;"320d Executive";D;H5;1998;2001
20498;"320d Executive";D;A5;2000;2001
17920;330d;D;H5;1999;2001
17920;330d;D;H5;1999;2001
20499;330d;D;A5;2000;2001
17921;"330d Executive";D;H5;1999;2001
20500;"330d Executive";D;A5;2000;2001
20500;"330d Executive";D;A5;2000;2001
20501;330xd;D;H5;2000;2001
20502;330xd;D;A5;2000;2001
20503;"330xd Executive";D;H5;2000;2001
20503;"330xd Executive";D;H5;2000;2001
20504;"330xd Executive";D;A5;2000;2001
