id;pikk_mudel;kytus;kaigukast;alates;kuni
72102;"320i Gran Turismo";B;H6;2013;heden
72110;"320i Gran Turismo";B;A8;2013;heden
72109;"320i Gran Turismo Business";B;H6;2013;heden
72109;"320i Gran Turismo Business";B;H6;2013;heden
72108;"320i Gran Turismo Business";B;A8;2013;heden
72107;"320i Gran Turismo Executive";B;H6;2013;heden
72106;"320i Gran Turismo Executive";B;A8;2013;heden
72106;"320i Gran Turismo Executive";B;A8;2013;heden
72105;"320i Gran Turismo High Executive";B;H6;2013;heden
72104;"320i Gran Turismo High Executive";B;A8;2013;heden
73965;"320i xDrive Gran Turismo";B;H6;2013;heden
73965;"320i xDrive Gran Turismo";B;H6;2013;heden
73966;"320i xDrive Gran Turismo";B;A8;2013;heden
73967;"320i xDrive Gran Turismo Business";B;H6;2013;heden
73968;"320i xDrive Gran Turismo Business";B;A8;2013;heden
73968;"320i xDrive Gran Turismo Business";B;A8;2013;heden
73969;"320i xDrive Gran Turismo Executive";B;H6;2013;heden
73970;"320i xDrive Gran Turismo Executive";B;A8;2013;heden
73971;"320i xDrive Gran Turismo High Executive";B;H6;2013;heden
73971;"320i xDrive Gran Turismo High Executive";B;H6;2013;heden
73972;"320i xDrive Gran Turismo High Executive";B;A8;2013;heden
72116;"328i Gran Turismo";B;H6;2013;2014
72115;"328i Gran Turismo";B;A8;2013;heden
72115;"328i Gran Turismo";B;A8;2013;heden
72114;"328i Gran Turismo Executive";B;H6;2013;2014
72113;"328i Gran Turismo Executive";B;A8;2013;heden
72112;"328i Gran Turismo High Executive";B;H6;2013;2014
72112;"328i Gran Turismo High Executive";B;H6;2013;2014
72111;"328i Gran Turismo High Executive";B;A8;2013;heden
73974;"328i xDrive Gran Turismo";B;A8;2013;heden
73976;"328i xDrive Gran Turismo Executive";B;A8;2013;heden
73976;"328i xDrive Gran Turismo Executive";B;A8;2013;heden
73978;"328i xDrive Gran Turismo High Executive";B;A8;2013;heden
72122;"335i Gran Turismo";B;H6;2013;heden
72121;"335i Gran Turismo";B;A8;2013;heden
72121;"335i Gran Turismo";B;A8;2013;heden
72120;"335i Gran Turismo Executive";B;H6;2013;heden
72119;"335i Gran Turismo Executive";B;A8;2013;heden
72118;"335i Gran Turismo High Executive";B;H6;2013;heden
72118;"335i Gran Turismo High Executive";B;H6;2013;heden
72117;"335i Gran Turismo High Executive";B;A8;2013;heden
73973;"335i xDrive Gran Turismo";B;A8;2013;heden
73975;"335i xDrive Gran Turismo Executive";B;A8;2013;heden
73975;"335i xDrive Gran Turismo Executive";B;A8;2013;heden
73977;"335i xDrive Gran Turismo High Executive";B;A8;2013;heden
72130;"318d Gran Turismo";D;H6;2013;heden
72129;"318d Gran Turismo";D;A8;2013;heden
72129;"318d Gran Turismo";D;A8;2013;heden
72128;"318d Gran Turismo Business";D;H6;2013;heden
72127;"318d Gran Turismo Business";D;A8;2013;heden
72126;"318d Gran Turismo Executive";D;H6;2013;heden
72126;"318d Gran Turismo Executive";D;H6;2013;heden
72125;"318d Gran Turismo Executive";D;A8;2013;heden
72124;"318d Gran Turismo High Executive";D;H6;2013;heden
72123;"318d Gran Turismo High Executive";D;A8;2013;heden
72123;"318d Gran Turismo High Executive";D;A8;2013;heden
72138;"320d Gran Turismo";D;H6;2013;heden
72137;"320d Gran Turismo";D;A8;2013;heden
72136;"320d Gran Turismo Business";D;H6;2013;heden
72136;"320d Gran Turismo Business";D;H6;2013;heden
72135;"320d Gran Turismo Business";D;A8;2013;heden
72134;"320d Gran Turismo Executive";D;H6;2013;heden
72133;"320d Gran Turismo Executive";D;A8;2013;heden
72133;"320d Gran Turismo Executive";D;A8;2013;heden
72132;"320d Gran Turismo High Executive";D;H6;2013;heden
72131;"320d Gran Turismo High Executive";D;A8;2013;heden
73985;"320d xDrive Gran Turismo";D;H6;2013;heden
73985;"320d xDrive Gran Turismo";D;H6;2013;heden
73986;"320d xDrive Gran Turismo";D;A8;2013;heden
73987;"320d xDrive Gran Turismo Business";D;H6;2013;heden
73988;"320d xDrive Gran Turismo Business";D;A8;2013;heden
73988;"320d xDrive Gran Turismo Business";D;A8;2013;heden
73989;"320d xDrive Gran Turismo Executive";D;H6;2013;heden
73990;"320d xDrive Gran Turismo Executive";D;A8;2013;heden
73991;"320d xDrive Gran Turismo High Executive";D;H6;2013;heden
73991;"320d xDrive Gran Turismo High Executive";D;H6;2013;heden
73992;"320d xDrive Gran Turismo High Executive";D;A8;2013;heden
73979;"325d Gran Turismo";D;H6;2013;heden
73980;"325d Gran Turismo";D;A8;2013;heden
73980;"325d Gran Turismo";D;A8;2013;heden
73981;"325d Gran Turismo Executive";D;H6;2013;heden
73982;"325d Gran Turismo Executive";D;A8;2013;heden
73983;"325d Gran Turismo High Executive";D;H6;2013;heden
73983;"325d Gran Turismo High Executive";D;H6;2013;heden
73984;"325d Gran Turismo High Executive";D;A8;2013;heden
