id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
941;5-serie;"4-deurs sedan";1974;1981;56;5-serie;0
943;5-serie;"4-deurs sedan";1981;1988;56;5-serie;18956
945;5-serie;"4-deurs sedan";1988;1995;56;5-serie;19275
949;5-serie;"4-deurs sedan";1995;2000;56;5-serie;20980
953;5-serie;"4-deurs sedan";2000;2003;56;5-serie;23328
957;5-serie;"4-deurs sedan";2003;2007;56;5-serie;25810
961;5-serie;"4-deurs sedan";2007;2010;56;5-serie;38510
3275;5-serie;"4-deurs sedan";2010;2013;56;5-serie;82795
4007;5-serie;"4-deurs sedan";2013;heden;56;5-serie;151167
3158;"5-serie Gran Turismo";"5-deurs hatchback";2009;2013;56;5-serie;77851
4008;"5-serie Gran Turismo";"5-deurs hatchback";2013;heden;56;5-serie;151242
947;"5-serie Touring";"5-deurs stationwagon";1992;1997;56;5-serie;20064
951;"5-serie touring";"5-deurs stationwagon";1997;2000;56;5-serie;21670
955;"5-serie touring";"5-deurs stationwagon";2000;2004;56;5-serie;23337
959;"5-serie Touring";"5-deurs stationwagon";2004;2007;56;5-serie;26921
963;"5-serie Touring";"5-deurs stationwagon";2007;2010;56;5-serie;38522
3333;"5-serie Touring";"5-deurs stationwagon";2010;2013;56;5-serie;89954
4009;"5-serie Touring";"5-deurs stationwagon";2013;heden;56;5-serie;151188
