id;pikk_mudel;kytus;kaigukast;alates;kuni
53711;"X1 sDrive18i";B;H6;2010;2011
54975;"X1 sDrive18i";B;A6;2010;2011
53712;"X1 sDrive18i Executive";B;H6;2010;2011
53712;"X1 sDrive18i Executive";B;H6;2010;2011
54976;"X1 sDrive18i Executive";B;A6;2010;2011
62763;"X1 sDrive20i";B;H6;2011;2012
62764;"X1 sDrive20i";B;A8;2011;2012
62764;"X1 sDrive20i";B;A8;2011;2012
62765;"X1 sDrive20i Business";B;H6;2011;2012
62766;"X1 sDrive20i Business";B;A8;2011;2012
62767;"X1 xDrive20i";B;H6;2011;2012
62767;"X1 xDrive20i";B;H6;2011;2012
62768;"X1 xDrive20i";B;A8;2011;2012
62769;"X1 xDrive20i Business";B;H6;2011;2012
62770;"X1 xDrive20i Business";B;A8;2011;2012
62770;"X1 xDrive20i Business";B;A8;2011;2012
53695;"X1 xDrive28i";B;A6;2009;2011
53704;"X1 xDrive28i Executive";B;A6;2009;2011
60549;"X1 xDrive28i";B;H6;2011;2012
60549;"X1 xDrive28i";B;H6;2011;2012
60551;"X1 xDrive28i";B;A8;2011;2012
60550;"X1 xDrive28i Executive";B;H6;2011;2011
60552;"X1 xDrive28i Executive";B;A8;2011;2011
60552;"X1 xDrive28i Executive";B;A8;2011;2011
62761;"X1 xDrive28i Business";B;H6;2011;2012
62762;"X1 xDrive28i Business";B;A8;2011;2012
53698;"X1 sDrive18d";D;H6;2009;2012
53698;"X1 sDrive18d";D;H6;2009;2012
54977;"X1 sDrive18d";D;A6;2010;2012
53705;"X1 sDrive18d Executive";D;H6;2009;2011
54978;"X1 sDrive18d Executive";D;A6;2010;2011
54978;"X1 sDrive18d Executive";D;A6;2010;2011
62771;"X1 sDrive18d Business";D;H6;2011;2012
62772;"X1 sDrive18d Business";D;A6;2011;2012
53700;"X1 xDrive18d";D;H6;2009;2012
53700;"X1 xDrive18d";D;H6;2009;2012
54979;"X1 xDrive18d";D;A6;2010;2012
53706;"X1 xDrive18d Executive";D;H6;2009;2011
54980;"X1 xDrive18d Executive";D;A6;2010;2011
54980;"X1 xDrive18d Executive";D;A6;2010;2011
62773;"X1 xDrive18d Business";D;H6;2011;2012
62774;"X1 xDrive18d Business";D;A6;2011;2012
62781;"X1 sDrive20d EfficientDynamics Edition";D;H6;2011;2012
62781;"X1 sDrive20d EfficientDynamics Edition";D;H6;2011;2012
62782;"X1 sDrive20d EfficientDynamics Edition Business";D;H6;2011;2012
53699;"X1 sDrive20d";D;H6;2009;2012
54981;"X1 sDrive20d";D;A6;2010;2012
54981;"X1 sDrive20d";D;A6;2010;2012
53707;"X1 sDrive20d Executive";D;H6;2009;2011
54982;"X1 sDrive20d Executive";D;A6;2010;2011
62775;"X1 sDrive20d Business";D;H6;2011;2012
62775;"X1 sDrive20d Business";D;H6;2011;2012
62776;"X1 sDrive20d Business";D;A6;2011;2012
53701;"X1 xDrive20d";D;H6;2009;2012
53702;"X1 xDrive20d";D;A6;2009;2012
53702;"X1 xDrive20d";D;A6;2009;2012
53708;"X1 xDrive20d Executive";D;H6;2009;2011
53709;"X1 xDrive20d Executive";D;A6;2009;2011
62777;"X1 xDrive20d Business";D;H6;2011;2012
62777;"X1 xDrive20d Business";D;H6;2011;2012
62778;"X1 xDrive20d Business";D;A6;2011;2012
57916;"X1 xDrive23d";D;H6;2010;2012
53703;"X1 xDrive23d";D;A6;2009;2012
53703;"X1 xDrive23d";D;A6;2009;2012
57917;"X1 xDrive23d Executive";D;H6;2010;2011
53710;"X1 xDrive23d Executive";D;A6;2009;2011
62779;"X1 xDrive23d Business";D;H6;2011;2012
62779;"X1 xDrive23d Business";D;H6;2011;2012
62780;"X1 xDrive23d Business";D;A6;2011;2012
