id;pikk_mudel;kytus;kaigukast;alates;kuni
69122;"X1 sDrive20i";B;H6;2012;heden
69126;"X1 sDrive20i";B;A8;2012;heden
69125;"X1 sDrive20i Business";B;H6;2012;heden
69125;"X1 sDrive20i Business";B;H6;2012;heden
69124;"X1 sDrive20i Business";B;A8;2012;heden
69128;"X1 sDrive20i Business+";B;H6;2012;2013
69127;"X1 sDrive20i Business+";B;A8;2012;2013
69127;"X1 sDrive20i Business+";B;A8;2012;2013
71814;"X1 sDrive20i Executive";B;H6;2013;heden
71815;"X1 sDrive20i Executive";B;A8;2013;heden
71134;"X1 sDrive20i High Executive";B;H6;2013;heden
71134;"X1 sDrive20i High Executive";B;H6;2013;heden
71135;"X1 sDrive20i High Executive";B;A8;2013;heden
69134;"X1 xDrive20i";B;H6;2012;heden
69133;"X1 xDrive20i";B;A8;2012;heden
69133;"X1 xDrive20i";B;A8;2012;heden
69132;"X1 xDrive20i Business";B;H6;2012;heden
69131;"X1 xDrive20i Business";B;A8;2012;heden
69130;"X1 xDrive20i Business+";B;H6;2012;2013
69130;"X1 xDrive20i Business+";B;H6;2012;2013
69129;"X1 xDrive20i Business+";B;A8;2012;2013
71816;"X1 xDrive20i Executive";B;H6;2013;heden
71817;"X1 xDrive20i Executive";B;A8;2013;heden
71817;"X1 xDrive20i Executive";B;A8;2013;heden
71136;"X1 xDrive20i High Executive";B;H6;2013;heden
71137;"X1 xDrive20i High Executive";B;A8;2013;heden
69140;"X1 xDrive28i";B;H6;2012;heden
69140;"X1 xDrive28i";B;H6;2012;heden
69139;"X1 xDrive28i";B;A8;2012;heden
69138;"X1 xDrive28i Business";B;H6;2012;2013
69137;"X1 xDrive28i Business";B;A8;2012;2013
69137;"X1 xDrive28i Business";B;A8;2012;2013
69136;"X1 xDrive28i Business+";B;H6;2012;2013
69135;"X1 xDrive28i Business+";B;A8;2012;2013
71818;"X1 xDrive28i Executive";B;H6;2013;heden
71818;"X1 xDrive28i Executive";B;H6;2013;heden
71819;"X1 xDrive28i Executive";B;A8;2013;heden
71138;"X1 xDrive28i High Executive";B;H6;2013;heden
71139;"X1 xDrive28i High Executive";B;A8;2013;heden
71139;"X1 xDrive28i High Executive";B;A8;2013;heden
69143;"X1 sDrive16d";D;H6;2012;heden
71832;"X1 sDrive16d";D;A8;2013;heden
69142;"X1 sDrive16d Business";D;H6;2012;heden
69142;"X1 sDrive16d Business";D;H6;2012;heden
71833;"X1 sDrive16d Business";D;A8;2013;heden
69141;"X1 sDrive16d Business+";D;H6;2012;2013
71820;"X1 sDrive16d Executive";D;H6;2013;heden
71820;"X1 sDrive16d Executive";D;H6;2013;heden
71834;"X1 sDrive16d Executive";D;A8;2013;heden
71140;"X1 sDrive16d High Executive";D;H6;2013;heden
71835;"X1 sDrive16d High Executive";D;A8;2013;heden
71835;"X1 sDrive16d High Executive";D;A8;2013;heden
69149;"X1 sDrive18d";D;H6;2012;heden
69148;"X1 sDrive18d";D;A8;2012;heden
69147;"X1 sDrive18d Business";D;H6;2012;heden
69147;"X1 sDrive18d Business";D;H6;2012;heden
69146;"X1 sDrive18d Business";D;A8;2012;heden
69145;"X1 sDrive18d Business+";D;H6;2012;2013
69144;"X1 sDrive18d Business+";D;A8;2012;2013
69144;"X1 sDrive18d Business+";D;A8;2012;2013
71821;"X1 sDrive18d Executive";D;H6;2013;heden
71822;"X1 sDrive18d Executive";D;A8;2013;heden
71141;"X1 sDrive18d High Executive";D;H6;2013;heden
71141;"X1 sDrive18d High Executive";D;H6;2013;heden
71142;"X1 sDrive18d High Executive";D;A8;2013;heden
69155;"X1 xDrive18d";D;H6;2012;heden
69154;"X1 xDrive18d";D;A8;2012;heden
69154;"X1 xDrive18d";D;A8;2012;heden
69153;"X1 xDrive18d Business";D;H6;2012;heden
69152;"X1 xDrive18d Business";D;A8;2012;heden
69151;"X1 xDrive18d Business+";D;H6;2012;2013
69151;"X1 xDrive18d Business+";D;H6;2012;2013
69150;"X1 xDrive18d Business+";D;A8;2012;2013
71823;"X1 xDrive18d Executive";D;H6;2013;heden
71824;"X1 xDrive18d Executive";D;A8;2013;heden
71824;"X1 xDrive18d Executive";D;A8;2013;heden
71143;"X1 xDrive18d High Executive";D;H6;2013;heden
71144;"X1 xDrive18d High Executive";D;A8;2013;heden
69158;"X1 sDrive20d EfficientDynamics Edition";D;H6;2012;heden
69158;"X1 sDrive20d EfficientDynamics Edition";D;H6;2012;heden
69157;"X1 sDrive20d EfficientDynamics Edition Business";D;H6;2012;heden
69156;"X1 sDrive20d EfficientDynamics Edition Business+";D;H6;2012;2013
71825;"X1 sDrive20d EfficientDynamics Edition Executive";D;H6;2013;heden
71825;"X1 sDrive20d EfficientDynamics Edition Executive";D;H6;2013;heden
71145;"X1 sDrive20d EfficientDynamics Edition High Execut";D;H6;2013;heden
69164;"X1 sDrive20d";D;H6;2012;heden
69163;"X1 sDrive20d";D;A8;2012;heden
69163;"X1 sDrive20d";D;A8;2012;heden
69162;"X1 sDrive20d Business";D;H6;2012;heden
69161;"X1 sDrive20d Business";D;A8;2012;heden
69160;"X1 sDrive20d Business+";D;H6;2012;2013
69160;"X1 sDrive20d Business+";D;H6;2012;2013
69159;"X1 sDrive20d Business+";D;A8;2012;2013
71826;"X1 sDrive20d Executive";D;H6;2013;heden
71827;"X1 sDrive20d Executive";D;A8;2013;heden
71827;"X1 sDrive20d Executive";D;A8;2013;heden
71146;"X1 sDrive20d High Executive";D;H6;2013;heden
71147;"X1 sDrive20d High Executive";D;A8;2013;heden
69170;"X1 xDrive20d";D;H6;2012;heden
69170;"X1 xDrive20d";D;H6;2012;heden
69169;"X1 xDrive20d";D;A8;2012;heden
69168;"X1 xDrive20d Business";D;H6;2012;heden
69167;"X1 xDrive20d Business";D;A8;2012;heden
69167;"X1 xDrive20d Business";D;A8;2012;heden
69166;"X1 xDrive20d Business+";D;H6;2012;2013
69165;"X1 xDrive20d Business+";D;A8;2012;2013
71828;"X1 xDrive20d Executive";D;H6;2013;heden
71828;"X1 xDrive20d Executive";D;H6;2013;heden
71829;"X1 xDrive20d Executive";D;A8;2013;heden
71148;"X1 xDrive20d High Executive";D;H6;2013;heden
71149;"X1 xDrive20d High Executive";D;A8;2013;heden
71149;"X1 xDrive20d High Executive";D;A8;2013;heden
69176;"X1 xDrive25d";D;H6;2012;heden
69175;"X1 xDrive25d";D;A8;2012;heden
69174;"X1 xDrive25d Business";D;H6;2012;2013
69174;"X1 xDrive25d Business";D;H6;2012;2013
69173;"X1 xDrive25d Business";D;A8;2012;2013
69172;"X1 xDrive25d Business+";D;H6;2012;2013
69171;"X1 xDrive25d Business+";D;A8;2012;2013
69171;"X1 xDrive25d Business+";D;A8;2012;2013
71830;"X1 xDrive25d Executive";D;H6;2013;heden
71831;"X1 xDrive25d Executive";D;A8;2013;heden
71150;"X1 xDrive25d High Executive";D;H6;2013;heden
71150;"X1 xDrive25d High Executive";D;H6;2013;heden
71151;"X1 xDrive25d High Executive";D;A8;2013;heden
