id;pikk_mudel;kytus;kaigukast;alates;kuni
12446;"Z3 roadster 1.8i";B;H5;1996;1999
17958;"Z3 roadster 1.8i";B;H5;1999;2000
17959;"Z3 roadster 1.8i S";B;H5;1999;2000
17959;"Z3 roadster 1.8i S";B;H5;1999;2000
12447;"Z3 roadster 1.9i";B;H5;1996;1999
12448;"Z3 roadster 1.9i";B;A4;1996;1999
20641;"Z3 roadster 1.9i";B;H5;2000;2002
20641;"Z3 roadster 1.9i";B;H5;2000;2002
20642;"Z3 roadster 1.9i S";B;H5;2000;2002
27386;"Z3 roadster 1.9i Sport Line";B;H5;2002;2003
17960;"Z3 roadster 2.0i";B;H5;1999;2000
17960;"Z3 roadster 2.0i";B;H5;1999;2000
17961;"Z3 roadster 2.0i";B;A4;1999;2000
17962;"Z3 roadster 2.0i S";B;H5;1999;2000
17963;"Z3 roadster 2.0i S";B;A4;1999;2000
17963;"Z3 roadster 2.0i S";B;A4;1999;2000
20643;"Z3 roadster 2.2i";B;H5;2000;2002
20644;"Z3 roadster 2.2i";B;A5;2000;2002
20645;"Z3 roadster 2.2i S";B;H5;2000;2002
20645;"Z3 roadster 2.2i S";B;H5;2000;2002
20646;"Z3 roadster 2.2i S";B;A5;2000;2002
27387;"Z3 roadster 2.2i Sport Line";B;H5;2002;2003
14155;"Z3 roadster 2.8i";B;H5;1997;1999
14155;"Z3 roadster 2.8i";B;H5;1997;1999
14156;"Z3 roadster 2.8i";B;A4;1997;1999
17964;"Z3 roadster 2.8i";B;H5;1999;2000
17965;"Z3 roadster 2.8i";B;A4;1999;2000
17965;"Z3 roadster 2.8i";B;A4;1999;2000
20647;"Z3 roadster 3.0i";B;H5;2000;2002
20648;"Z3 roadster 3.0i";B;A5;2000;2002
27388;"Z3 roadster 3.0i Sport Line";B;H5;2002;2003
27388;"Z3 roadster 3.0i Sport Line";B;H5;2002;2003
14157;"M roadster";B;H5;1997;2001
22920;"M roadster";B;H5;2001;2002
