id;pikk_mudel;kytus;kaigukast;alates;kuni
72910;"ATS 2.0 T Elegance";B;H6;2013;heden
72916;"ATS 2.0 T Elegance";B;A6;2013;heden
72913;"ATS 2.0 T Luxury";B;H6;2013;heden
72913;"ATS 2.0 T Luxury";B;H6;2013;heden
72917;"ATS 2.0 T Luxury";B;A6;2013;heden
72914;"ATS 2.0 T Performance";B;H6;2013;heden
72918;"ATS 2.0 T Performance";B;A6;2013;heden
72918;"ATS 2.0 T Performance";B;A6;2013;heden
72915;"ATS 2.0 T Premium";B;H6;2013;heden
72919;"ATS 2.0 T Premium";B;A6;2013;heden
72920;"ATS 2.0 T AWD Luxury";B;A6;2013;heden
72920;"ATS 2.0 T AWD Luxury";B;A6;2013;heden
72921;"ATS 2.0 T AWD Performance";B;A6;2013;heden
72922;"ATS 2.0 T AWD Premium";B;A6;2013;heden
