id;pikk_mudel;kytus;kaigukast;alates;kuni
41668;"BLS 2.0T 175pk Business";B;H5;2006;2009
41669;"BLS 2.0T 175pk Business";B;A5;2006;2009
50781;"BLS 2.0T 175pk Business Prestige";B;H5;2008;2009
50781;"BLS 2.0T 175pk Business Prestige";B;H5;2008;2009
50782;"BLS 2.0T 175pk Business Prestige";B;A5;2008;2009
41671;"BLS 2.0T 175pk Elegance";B;H5;2006;2009
41670;"BLS 2.0T 175pk Elegance";B;A5;2006;2009
41670;"BLS 2.0T 175pk Elegance";B;A5;2006;2009
43940;"BLS 2.0T 175pk Sport";B;H5;2006;2008
43941;"BLS 2.0T 175pk Sport";B;A5;2006;2008
47228;"BLS 2.0T Flexpower Business";B;H5;2007;2009
47228;"BLS 2.0T Flexpower Business";B;H5;2007;2009
47229;"BLS 2.0T Flexpower Business";B;A5;2007;2009
50783;"BLS 2.0T Flexpower Business Prestige";B;H5;2008;2009
50784;"BLS 2.0T Flexpower Business Prestige";B;A5;2008;2009
50784;"BLS 2.0T Flexpower Business Prestige";B;A5;2008;2009
47230;"BLS 2.0T Flexpower Elegance";B;H5;2007;2009
47231;"BLS 2.0T Flexpower Elegance";B;A5;2007;2009
47232;"BLS 2.0T Flexpower Sport";B;H5;2007;2008
47232;"BLS 2.0T Flexpower Sport";B;H5;2007;2008
47233;"BLS 2.0T Flexpower Sport";B;A5;2007;2008
50785;"BLS 2.0T Flexpower Sport Luxury";B;H5;2008;2009
50786;"BLS 2.0T Flexpower Sport Luxury";B;A5;2008;2009
50786;"BLS 2.0T Flexpower Sport Luxury";B;A5;2008;2009
41673;"BLS 2.0T 210pk Elegance";B;H6;2006;2009
41672;"BLS 2.0T 210pk Elegance";B;A5;2006;2009
43942;"BLS 2.0T 210pk Sport";B;H6;2006;2009
43942;"BLS 2.0T 210pk Sport";B;H6;2006;2009
43943;"BLS 2.0T 210pk Sport";B;A5;2006;2009
50788;"BLS 2.0T 210pk AWD Elegance";B;H6;2008;2009
50789;"BLS 2.0T 210pk AWD Elegance";B;A5;2008;2009
50789;"BLS 2.0T 210pk AWD Elegance";B;A5;2008;2009
50790;"BLS 2.0T 210pk AWD Sport Luxury";B;H6;2008;2009
50791;"BLS 2.0T 210pk AWD Sport Luxury";B;A5;2008;2009
41674;"BLS 2.8 V6 Elegance";B;H6;2006;2008
41674;"BLS 2.8 V6 Elegance";B;H6;2006;2008
41675;"BLS 2.8 V6 Elegance";B;A6;2006;2008
43944;"BLS 2.8 V6 Sport";B;H6;2006;2008
43945;"BLS 2.8 V6 Sport";B;A6;2006;2008
43945;"BLS 2.8 V6 Sport";B;A6;2006;2008
41677;"BLS 2.8 V6 Sport Luxury";B;H6;2006;2008
41676;"BLS 2.8 V6 Sport Luxury";B;A6;2006;2008
50787;"BLS 2.8 V6 AWD Sport Luxury";B;H6;2008;2009
50787;"BLS 2.8 V6 AWD Sport Luxury";B;H6;2008;2009
41678;"BLS 1.9D 150pk Business";D;H6;2006;2009
41679;"BLS 1.9D 150pk Business";D;A6;2006;2009
50793;"BLS 1.9D 150pk Business Prestige";D;H6;2008;2009
50793;"BLS 1.9D 150pk Business Prestige";D;H6;2008;2009
50792;"BLS 1.9D 150pk Business Prestige";D;A6;2008;2009
41681;"BLS 1.9D 150pk Elegance";D;H6;2006;2009
41680;"BLS 1.9D 150pk Elegance";D;A6;2006;2009
41680;"BLS 1.9D 150pk Elegance";D;A6;2006;2009
43938;"BLS 1.9D 150pk Sport";D;H6;2006;2008
43939;"BLS 1.9D 150pk Sport";D;A6;2006;2008
43946;"BLS 1.9D 150pk Sport Luxury";D;H6;2006;2008
43946;"BLS 1.9D 150pk Sport Luxury";D;H6;2006;2008
43947;"BLS 1.9D 150pk Sport Luxury";D;A6;2006;2008
47234;"BLS 1.9D 180pk Business";D;H6;2007;2009
47235;"BLS 1.9D 180pk Business";D;A6;2007;2009
47235;"BLS 1.9D 180pk Business";D;A6;2007;2009
50794;"BLS 1.9D 180pk Business Prestige";D;H6;2008;2009
50795;"BLS 1.9D 180pk Business Prestige";D;A6;2008;2009
47236;"BLS 1.9D 180pk Elegance";D;H6;2007;2009
47236;"BLS 1.9D 180pk Elegance";D;H6;2007;2009
47237;"BLS 1.9D 180pk Elegance";D;A6;2007;2009
47238;"BLS 1.9D 180pk Sport";D;H6;2007;2008
47239;"BLS 1.9D 180pk Sport";D;A6;2007;2008
47239;"BLS 1.9D 180pk Sport";D;A6;2007;2008
47240;"BLS 1.9D 180pk Sport Luxury";D;H6;2007;2009
47241;"BLS 1.9D 180pk Sport Luxury";D;A6;2007;2009
