id;pikk_mudel;kytus;kaigukast;alates;kuni
34884;"Lacetti 1.4 Spirit";B;H5;2005;2010
34887;"Lacetti 1.4 Style";B;H5;2005;2006
34888;"Lacetti 1.6 Style";B;H5;2005;2010
34888;"Lacetti 1.6 Style";B;H5;2005;2010
34889;"Lacetti 1.6 Style";B;A4;2005;2006
34892;"Lacetti 1.6 Class";B;H5;2005;2006
34893;"Lacetti 1.8 Style";B;H5;2005;2006
34893;"Lacetti 1.8 Style";B;H5;2005;2006
34891;"Lacetti 1.8 Class";B;H5;2005;2007
34890;"Lacetti 1.8 Class";B;A4;2005;2007
44986;"Lacetti 2.0 TCDI Style";D;H5;2007;2010
44986;"Lacetti 2.0 TCDI Style";D;H5;2007;2010
