id;pikk_mudel;kytus;kaigukast;alates;kuni
72432;"Trax 1.6 LS";B;H5;2013;heden
72438;"Trax 1.6 LT";B;H5;2013;heden
75931;"Trax 1.4T LT";B;H6;2014;heden
75931;"Trax 1.4T LT";B;H6;2014;heden
75933;"Trax 1.4T LT";B;A6;2014;heden
75932;"Trax 1.4T LT+";B;H6;2014;heden
75934;"Trax 1.4T LT+";B;A6;2014;heden
75934;"Trax 1.4T LT+";B;A6;2014;heden
72435;"Trax 1.4T AWD LS";B;H6;2013;2014
72439;"Trax 1.4T AWD LT";B;H6;2013;2014
72442;"Trax 1.4T AWD LT+";B;H6;2013;heden
72442;"Trax 1.4T AWD LT+";B;H6;2013;heden
72436;"Trax 1.7D LS";B;H6;2013;heden
72440;"Trax 1.7D LT";B;H6;2013;heden
75929;"Trax 1.7D LT";B;A6;2014;heden
75929;"Trax 1.7D LT";B;A6;2014;heden
72441;"Trax 1.7D LT+";B;H6;2013;heden
72437;"Trax 1.7D LT+";B;A6;2013;heden
75930;"Trax 1.7D AWD LT+";B;H6;2014;heden
75930;"Trax 1.7D AWD LT+";B;H6;2014;heden
