id;pikk_mudel;kytus;kaigukast;alates;kuni
17974;"Neon 1.6i 16V SE";B;H5;2001;2003
24938;"Neon 1.6i 16V LE";B;H5;2001;2003
24937;"Neon 2.0i 16V SE";B;H5;1999;2001
24937;"Neon 2.0i 16V SE";B;H5;1999;2001
17975;"Neon 2.0i 16V SE";B;A3;1999;2002
26460;"Neon 2.0i 16V SE";B;A4;2002;2003
17976;"Neon 2.0i 16V LE";B;H5;1999;2003
17976;"Neon 2.0i 16V LE";B;H5;1999;2003
17977;"Neon 2.0i 16V LE";B;A3;1999;2002
26461;"Neon 2.0i 16V LE";B;A4;2002;2003
17978;"Neon 2.0i 16V LX";B;H5;1999;2003
17978;"Neon 2.0i 16V LX";B;H5;1999;2003
17979;"Neon 2.0i 16V LX";B;A3;1999;2002
26462;"Neon 2.0i 16V LX";B;A4;2002;2003
