id;pikk_mudel;kytus;kaigukast;alates;kuni
28509;"PT Cruiser 1.6i Classic";B;H5;2003;2006
28510;"PT Cruiser 1.6i Touring";B;H5;2003;2006
20661;"PT Cruiser 2.0i Classic";B;H5;2000;2005
20661;"PT Cruiser 2.0i Classic";B;H5;2000;2005
25560;"PT Cruiser 2.0i Classic";B;A4;2002;2005
20662;"PT Cruiser 2.0i Touring";B;H5;2000;2005
20663;"PT Cruiser 2.0i Touring";B;A4;2000;2005
20663;"PT Cruiser 2.0i Touring";B;A4;2000;2005
20664;"PT Cruiser 2.0i Limited";B;H5;2000;2005
20665;"PT Cruiser 2.0i Limited";B;A4;2000;2005
29188;"PT Cruiser 2.0i Street Cruiser";B;H5;2003;2004
29188;"PT Cruiser 2.0i Street Cruiser";B;H5;2003;2004
29187;"PT Cruiser 2.0i Street Cruiser";B;A4;2003;2004
35489;"PT Cruiser 2.4i Classic";B;H5;2005;2006
35488;"PT Cruiser 2.4i Classic";B;A4;2005;2006
35488;"PT Cruiser 2.4i Classic";B;A4;2005;2006
35491;"PT Cruiser 2.4i Touring";B;H5;2005;2006
35490;"PT Cruiser 2.4i Touring";B;A4;2005;2006
35493;"PT Cruiser 2.4i Limited";B;H5;2005;2006
35493;"PT Cruiser 2.4i Limited";B;H5;2005;2006
35492;"PT Cruiser 2.4i Limited";B;A4;2005;2006
31293;"PT Cruiser 2.4i GT Turbo";B;H5;2004;2006
28511;"PT Cruiser 2.2 CRD Classic";D;H5;2003;2006
28511;"PT Cruiser 2.2 CRD Classic";D;H5;2003;2006
25559;"PT Cruiser 2.2 CRD Touring";D;H5;2002;2006
25558;"PT Cruiser 2.2 CRD Limited";D;H5;2002;2006
