id;pikk_mudel;kytus;kaigukast;alates;kuni
32403;"Grand Voyager 2.4i SE";B;H5;2004;2005
32413;"Grand Voyager 2.4i SE Luxe";B;H5;2004;2005
32412;"Grand Voyager 2.4i SE Luxe";B;A4;2004;2005
32412;"Grand Voyager 2.4i SE Luxe";B;A4;2004;2005
35241;"Grand Voyager 3.3i V6 SE";B;A4;2005;2008
32418;"Grand Voyager 3.3i V6 SE Luxe";B;A4;2004;2008
44995;"Grand Voyager 3.3i V6 Business Edition";B;A4;2007;2008
44995;"Grand Voyager 3.3i V6 Business Edition";B;A4;2007;2008
32417;"Grand Voyager 3.3i V6 LX";B;A4;2004;2008
32416;"Grand Voyager 3.3i V6 Limited";B;A4;2004;2008
32419;"Grand Voyager 3.3i V6 Limited AWD";B;A4;2004;2005
32419;"Grand Voyager 3.3i V6 Limited AWD";B;A4;2004;2005
32426;"Grand Voyager 2.5 CRD SE";D;H5;2004;2005
32425;"Grand Voyager 2.5 CRD SE Luxe";D;H5;2004;2005
32424;"Grand Voyager 2.5 CRD LX";D;H5;2004;2005
32424;"Grand Voyager 2.5 CRD LX";D;H5;2004;2005
32423;"Grand Voyager 2.5 CRD Limited";D;H5;2004;2005
32433;"Grand Voyager 2.8 CRD SE";D;A4;2004;2008
32432;"Grand Voyager 2.8 CRD SE Luxe";D;A4;2004;2008
32432;"Grand Voyager 2.8 CRD SE Luxe";D;A4;2004;2008
44996;"Grand Voyager 2.8 CRD Business Edition";D;A4;2007;2008
32431;"Grand Voyager 2.8 CRD LX";D;A4;2004;2008
32430;"Grand Voyager 2.8 CRD Limited";D;A4;2004;2008
32430;"Grand Voyager 2.8 CRD Limited";D;A4;2004;2008
