id;pikk_mudel;kytus;kaigukast;alates;kuni
6961;"AX 11 First";B;H5;1991;1995
11064;"AX 11 Spot";B;H5;1995;1996
6962;"AX 11 TGE";B;H5;1991;1995
6962;"AX 11 TGE";B;H5;1991;1995
11065;"AX 11 Image";B;H5;1995;1996
8507;"AX 14 TGS";B;H5;1993;1995
11066;"AX 14 Image";B;H5;1995;1996
11066;"AX 14 Image";B;H5;1995;1996
6963;"AX GT";B;H5;1991;1993
8508;"AX Furio";B;H5;1993;1995
6964;"AX GTI";B;H5;1991;1994
6964;"AX GTI";B;H5;1991;1994
6965;"AX 14 First D";D;H5;1991;1994
9650;"AX 15 First D";D;H5;1994;1995
11067;"AX 15 Spot D";D;H5;1995;1996
11067;"AX 15 Spot D";D;H5;1995;1996
