id;pikk_mudel;kytus;kaigukast;alates;kuni
608;"BX 14";B;H4;1983;1986
609;"BX 14 E";B;H5;1983;1986
610;"BX 14 RE";B;H5;1983;1986
610;"BX 14 RE";B;H5;1983;1986
611;"BX 16 RS";B;H5;1983;1986
612;"BX 16 RS";B;A4;1983;1986
613;"BX 16 TRS";B;H5;1983;1986
613;"BX 16 TRS";B;H5;1983;1986
614;"BX 16 TRS";B;A4;1983;1986
1739;"BX 19 GT";B;H5;1985;1986
1740;"BX 19 Sport";B;H5;1985;1986
1740;"BX 19 Sport";B;H5;1985;1986
615;"BX 19 D";D;H5;1983;1986
616;"BX 19 TRD";D;H5;1983;1986
617;"BX 19 TRD";D;A4;1983;1986
617;"BX 19 TRD";D;A4;1983;1986
