id;pikk_mudel;kytus;kaigukast;alates;kuni
49047;"Berlingo 1.6i 90 Cinqspace";B;H5;2008;2011
49050;"Berlingo 1.6i 90 Multispace";B;H5;2008;2009
60000;"Berlingo 1.6 VTi 95 Cinqspace";B;H5;2011;2012
60000;"Berlingo 1.6 VTi 95 Cinqspace";B;H5;2011;2012
60001;"Berlingo 1.6 VTi 95 Multispace";B;H5;2011;2012
49051;"Berlingo 1.6i 110 Multispace";B;H5;2008;2009
49052;"Berlingo 1.6i 110 XTR";B;H5;2008;2009
49052;"Berlingo 1.6i 110 XTR";B;H5;2008;2009
54586;"Berlingo 1.6 VTi 120 Multispace";B;H5;2009;2012
54587;"Berlingo 1.6 VTi 120 XTR";B;H5;2009;2012
49572;"Berlingo 1.6 HDiF 90 Multispace";D;H5;2008;2011
49572;"Berlingo 1.6 HDiF 90 Multispace";D;H5;2008;2011
60002;"Berlingo 1.6 HDiF 90 Multispace";D;H5;2011;2012
49053;"Berlingo 1.6 HDiF 110 Multispace";D;H5;2008;2011
49054;"Berlingo 1.6 HDiF 110 XTR";D;H5;2008;2011
49054;"Berlingo 1.6 HDiF 110 XTR";D;H5;2008;2011
60003;"Berlingo 1.6 HDiF 110 Multispace";D;H5;2011;2012
60004;"Berlingo 1.6 HDiF 110 XTR";D;H5;2011;2012
