id;pikk_mudel;kytus;kaigukast;alates;kuni
67798;"Berlingo 1.6 VTi 95 Comfort";B;H5;2012;heden
67800;"Berlingo 1.6 VTi 95 Club";B;H5;2012;heden
67802;"Berlingo 1.6 HDi 75 Comfort";D;H5;2012;heden
67802;"Berlingo 1.6 HDi 75 Comfort";D;H5;2012;heden
67801;"Berlingo 1.6 HDi 75 Club";D;H5;2012;heden
67805;"Berlingo 1.6 e-HDi 90 Comfort";D;H5;2012;heden
67804;"Berlingo 1.6 e-HDi 90 Club";D;H5;2012;heden
67804;"Berlingo 1.6 e-HDi 90 Club";D;H5;2012;heden
67803;"Berlingo 1.6 e-HDi 90 Club";D;A5;2012;heden
67808;"Berlingo XL 1.6 e-HDi 90 Comfort";D;H5;2012;heden
67807;"Berlingo XL 1.6 e-HDi 90 Club";D;H5;2012;heden
67807;"Berlingo XL 1.6 e-HDi 90 Club";D;H5;2012;heden
67806;"Berlingo XL 1.6 e-HDi 90 Club";D;A5;2012;heden
