id;pikk_mudel;kytus;kaigukast;alates;kuni
54636;"C3 1.1 First";B;H5;2009;2010
37705;"C3 1.1 Ligne Seduction";B;H5;2005;2009
37708;"C3 1.1 Ligne Prestige";B;H5;2005;2008
37708;"C3 1.1 Ligne Prestige";B;H5;2005;2008
46698;"C3 1.1 Image";B;H5;2007;2009
37709;"C3 1.1 Ligne Ambiance";B;H5;2005;2008
39932;"C3 1.1 Sky Radio";B;H5;2005;2006
39932;"C3 1.1 Sky Radio";B;H5;2005;2006
42340;"C3 1.1 Caract&egrave;re";B;H5;2006;2008
37712;"C3 1.4 Ligne Prestige";B;H5;2005;2008
46699;"C3 1.4 Image";B;H5;2007;2009
46699;"C3 1.4 Image";B;H5;2007;2009
44256;"C3 1.4 Ligne Business";B;H5;2007;2008
37711;"C3 1.4 Ligne Ambiance";B;H5;2005;2005
39933;"C3 1.4 Sky Radio";B;H5;2005;2006
39933;"C3 1.4 Sky Radio";B;H5;2005;2006
42341;"C3 1.4 Caract&egrave;re";B;H5;2006;2008
37710;"C3 1.4 Exclusive";B;H5;2005;2006
37703;"C3 1.4 X-TR";B;A5;2005;2006
37703;"C3 1.4 X-TR";B;A5;2005;2006
42347;"C3 1.4 Aardgas Ligne Prestige";B;H5;2006;2009
47782;"C3 1.4 16V Ligne Ambiance";B;H5;2008;2009
37714;"C3 1.4 16V Ligne Ambiance";B;A5;2005;2008
37714;"C3 1.4 16V Ligne Ambiance";B;A5;2005;2008
39934;"C3 1.4 16V Sky Radio";B;A5;2005;2006
42342;"C3 1.4 16V Caract&egrave;re";B;H5;2006;2008
42344;"C3 1.4 16V Caract&egrave;re";B;A5;2006;2008
42344;"C3 1.4 16V Caract&egrave;re";B;A5;2006;2008
37715;"C3 1.4 16V Stop &amp; Start";B;A5;2005;2009
39935;"C3 1.4 16V Sky Radio Stop &amp; Start";B;A5;2005;2006
42345;"C3 1.4 16V Exclusive";B;H5;2006;2009
42345;"C3 1.4 16V Exclusive";B;H5;2006;2009
37713;"C3 1.4 16V Exclusive";B;A5;2005;2008
42346;"C3 1.4 16V X-TR";B;H5;2006;2008
37702;"C3 1.6 16V Exclusive";B;A4;2005;2009
37702;"C3 1.6 16V Exclusive";B;A4;2005;2009
37701;"C3 1.6 16V X-TR";B;A5;2005;2008
37707;"C3 1.4 HDi Ligne Prestige";D;H5;2005;2008
46700;"C3 1.4 HDi Image";D;H5;2007;2008
46700;"C3 1.4 HDi Image";D;H5;2007;2008
44255;"C3 1.4 HDi Ligne Business";D;H5;2007;2008
37706;"C3 1.4 HDi Ligne Ambiance";D;H5;2005;2008
39931;"C3 1.4 HDi Sky Radio";D;H5;2005;2006
39931;"C3 1.4 HDi Sky Radio";D;H5;2005;2006
42343;"C3 1.4 HDi Caract&egrave;re";D;H5;2006;2008
50318;"C3 1.6 HDiF Ligne Ambiance";D;H5;2008;2009
