id;pikk_mudel;kytus;kaigukast;alates;kuni
49581;"Grand C4 Picasso 1.6 VTi Seduction";B;H5;2008;2010
49582;"Grand C4 Picasso 1.6 VTi Prestige";B;H5;2008;2010
54032;"Grand C4 Picasso 1.6 VTi Anniversaire";B;H5;2009;2010
54032;"Grand C4 Picasso 1.6 VTi Anniversaire";B;H5;2009;2010
55121;"Grand C4 Picasso 1.6 VTi Image";B;H5;2010;2010
49583;"Grand C4 Picasso 1.6 VTi Ambiance";B;H5;2008;2009
52752;"Grand C4 Picasso 1.6 VTi Dynamique";B;H5;2009;2010
52752;"Grand C4 Picasso 1.6 VTi Dynamique";B;H5;2009;2010
49584;"Grand C4 Picasso 1.6 VTi Lumi&egrave;re";B;H5;2008;2009
49585;"Grand C4 Picasso 1.6 VTi Ligne Business";B;H5;2008;2010
43585;"Grand C4 Picasso 1.8 16V Seduction";B;H5;2006;2008
43585;"Grand C4 Picasso 1.8 16V Seduction";B;H5;2006;2008
43593;"Grand C4 Picasso 1.8 16V Prestige";B;H5;2006;2009
43594;"Grand C4 Picasso 1.8 16V Ambiance";B;H5;2006;2009
48915;"Grand C4 Picasso 1.8 16V Lumi&egrave;re";B;H5;2008;2008
48915;"Grand C4 Picasso 1.8 16V Lumi&egrave;re";B;H5;2008;2008
44580;"Grand C4 Picasso 1.8 16V Ligne Business";B;H5;2007;2008
43588;"Grand C4 Picasso 2.0 16V Prestige";B;A6;2006;2008
43595;"Grand C4 Picasso 2.0 16V Ambiance";B;A6;2006;2009
43595;"Grand C4 Picasso 2.0 16V Ambiance";B;A6;2006;2009
43589;"Grand C4 Picasso 2.0 16V Ambiance";B;A4;2006;2008
48916;"Grand C4 Picasso 2.0 16V Lumi&egrave;re";B;A6;2008;2009
48917;"Grand C4 Picasso 2.0 16V Lumi&egrave;re";B;A4;2008;2008
48917;"Grand C4 Picasso 2.0 16V Lumi&egrave;re";B;A4;2008;2008
44581;"Grand C4 Picasso 2.0 16V Ligne Business";B;A6;2007;2009
43596;"Grand C4 Picasso 2.0 16V Exclusive";B;A6;2006;2009
43597;"Grand C4 Picasso 2.0 16V Exclusive";B;A4;2006;2008
43597;"Grand C4 Picasso 2.0 16V Exclusive";B;A4;2006;2008
51714;"Grand C4 Picasso 1.6 THP Ambiance";B;A6;2009;2009
49586;"Grand C4 Picasso 1.6 THP Ambiance";B;A4;2008;2009
51715;"Grand C4 Picasso 1.6 THP Lumi&egrave;re";B;A6;2009;2009
51715;"Grand C4 Picasso 1.6 THP Lumi&egrave;re";B;A6;2009;2009
49587;"Grand C4 Picasso 1.6 THP Lumi&egrave;re";B;A4;2008;2009
51718;"Grand C4 Picasso 1.6 THP Ligne Business";B;A6;2009;2010
52753;"Grand C4 Picasso 1.6 THP Ligne Business";B;A4;2009;2010
52753;"Grand C4 Picasso 1.6 THP Ligne Business";B;A4;2009;2010
51716;"Grand C4 Picasso 1.6 THP Exclusive";B;A6;2009;2010
49588;"Grand C4 Picasso 1.6 THP Exclusive";B;A4;2008;2010
43590;"Grand C4 Picasso 1.6 HDiF 110 Seduction";D;H5;2006;2008
43590;"Grand C4 Picasso 1.6 HDiF 110 Seduction";D;H5;2006;2008
43598;"Grand C4 Picasso 1.6 HDiF 110 Prestige";D;H5;2006;2010
54033;"Grand C4 Picasso 1.6 HDiF 110 Anniversaire";D;H5;2009;2010
55122;"Grand C4 Picasso 1.6 HDiF 110 Image";D;H5;2010;2010
55122;"Grand C4 Picasso 1.6 HDiF 110 Image";D;H5;2010;2010
43599;"Grand C4 Picasso 1.6 HDiF 110 Ambiance";D;H5;2006;2009
43591;"Grand C4 Picasso 1.6 HDiF 110 Ambiance";D;A6;2006;2009
52754;"Grand C4 Picasso 1.6 HDiF 110 Dynamique";D;H5;2009;2010
52754;"Grand C4 Picasso 1.6 HDiF 110 Dynamique";D;H5;2009;2010
48918;"Grand C4 Picasso 1.6 HDiF 110 Lumi&egrave;re";D;H5;2008;2009
48919;"Grand C4 Picasso 1.6 HDiF 110 Lumi&egrave;re";D;A6;2008;2009
44582;"Grand C4 Picasso 1.6 HDiF 110 Ligne Business";D;H5;2007;2010
44582;"Grand C4 Picasso 1.6 HDiF 110 Ligne Business";D;H5;2007;2010
44583;"Grand C4 Picasso 1.6 HDiF 110 Ligne Business";D;A6;2007;2010
43592;"Grand C4 Picasso 2.0 HDiF 138 Ambiance";D;A6;2006;2009
44585;"Grand C4 Picasso 2.0 HDiF 138 Ambiance";D;A6;2007;2009
44585;"Grand C4 Picasso 2.0 HDiF 138 Ambiance";D;A6;2007;2009
48920;"Grand C4 Picasso 2.0 HDiF 138 Lumi&egrave;re";D;A6;2008;2009
52755;"Grand C4 Picasso 2.0 HDiF 138 Ligne Business";D;H6;2009;2010
44584;"Grand C4 Picasso 2.0 HDiF 138 Ligne Business";D;A6;2007;2010
44584;"Grand C4 Picasso 2.0 HDiF 138 Ligne Business";D;A6;2007;2010
45795;"Grand C4 Picasso 2.0 HDiF 138 Ligne Business";D;A6;2007;2009
43600;"Grand C4 Picasso 2.0 HDiF 138 Exclusive";D;A6;2006;2010
44586;"Grand C4 Picasso 2.0 HDiF 138 Exclusive";D;A6;2007;2010
44586;"Grand C4 Picasso 2.0 HDiF 138 Exclusive";D;A6;2007;2010
55123;"Grand C4 Picasso 2.0 HDiF 150 Ligne Business";D;H6;2010;2010
