id;pikk_mudel;kytus;kaigukast;alates;kuni
74599;"Grand C4 Picasso VTi 120 Attraction";B;H5;2013;heden
74601;"Grand C4 Picasso VTi 120 Tendance";B;H5;2013;heden
74602;"Grand C4 Picasso VTi 120 Intensive";B;H5;2013;heden
74602;"Grand C4 Picasso VTi 120 Intensive";B;H5;2013;heden
74603;"Grand C4 Picasso VTi 120 Business";B;H5;2013;heden
74604;"Grand C4 Picasso THP 155 Tendance";B;H5;2013;heden
74605;"Grand C4 Picasso THP 155 Intensive";B;H5;2013;heden
74605;"Grand C4 Picasso THP 155 Intensive";B;H5;2013;heden
74606;"Grand C4 Picasso THP 155 Business";B;H5;2013;heden
74607;"Grand C4 Picasso THP 155 Exclusive";B;H5;2013;heden
74610;"Grand C4 Picasso e-HDi 90 Attraction";D;A6;2013;heden
74610;"Grand C4 Picasso e-HDi 90 Attraction";D;A6;2013;heden
74609;"Grand C4 Picasso e-HDi 90 Tendance";D;A6;2013;heden
74608;"Grand C4 Picasso e-HDi 90 Intensive";D;A6;2013;heden
74612;"Grand C4 Picasso e-HDi 115 Tendance";D;H6;2013;heden
74612;"Grand C4 Picasso e-HDi 115 Tendance";D;H6;2013;heden
74611;"Grand C4 Picasso e-HDi 115 Tendance";D;A6;2013;heden
74614;"Grand C4 Picasso e-HDi 115 Intensive";D;H6;2013;heden
74613;"Grand C4 Picasso e-HDi 115 Intensive";D;A6;2013;heden
74613;"Grand C4 Picasso e-HDi 115 Intensive";D;A6;2013;heden
74615;"Grand C4 Picasso e-HDi 115 Business";D;H6;2013;heden
74617;"Grand C4 Picasso e-HDi 115 Business";D;A6;2013;heden
74619;"Grand C4 Picasso e-HDi 115 Exclusive";D;H6;2013;heden
74619;"Grand C4 Picasso e-HDi 115 Exclusive";D;H6;2013;heden
74618;"Grand C4 Picasso e-HDi 115 Exclusive";D;A6;2013;heden
74620;"Grand C4 Picasso BlueHDi 150 Tendance";D;H6;2013;heden
74621;"Grand C4 Picasso BlueHDi 150 Intensive";D;H6;2013;heden
74621;"Grand C4 Picasso BlueHDi 150 Intensive";D;H6;2013;heden
74622;"Grand C4 Picasso BlueHDi 150 Business";D;H6;2013;heden
74623;"Grand C4 Picasso BlueHDi 150 Exclusive";D;H6;2013;heden
