id;pikk_mudel;kytus;kaigukast;alates;kuni
59644;"C5 Tourer VTi 120 Attraction";B;H6;2010;2012
64399;"C5 Tourer VTi 120 Attraction";B;A6;2012;2012
59649;"C5 Tourer VTi 120 Tendance";B;H6;2010;2012
59649;"C5 Tourer VTi 120 Tendance";B;H6;2010;2012
64400;"C5 Tourer VTi 120 Tendance";B;A6;2012;2012
61205;"C5 Tourer VTi 120 Selection";B;H6;2011;2012
64401;"C5 Tourer VTi 120 Collection";B;A6;2012;2012
64401;"C5 Tourer VTi 120 Collection";B;A6;2012;2012
59732;"C5 Tourer VTi 120 Ligne Business";B;H6;2010;2012
64402;"C5 Tourer VTi 120 Ligne Business";B;A6;2012;2014
59653;"C5 Tourer THP 155 Tendance";B;H6;2010;heden
59653;"C5 Tourer THP 155 Tendance";B;H6;2010;heden
59652;"C5 Tourer THP 155 Tendance";B;A6;2010;heden
61206;"C5 Tourer THP 155 Selection";B;H6;2011;2012
61207;"C5 Tourer THP 155 Selection";B;A6;2011;2012
61207;"C5 Tourer THP 155 Selection";B;A6;2011;2012
64405;"C5 Tourer THP 155 Collection";B;H6;2012;heden
64406;"C5 Tourer THP 155 Collection";B;A6;2012;heden
59735;"C5 Tourer THP 155 Ligne Business";B;H6;2010;2014
59735;"C5 Tourer THP 155 Ligne Business";B;H6;2010;2014
59736;"C5 Tourer THP 155 Ligne Business";B;A6;2010;2014
59657;"C5 Tourer THP 155 Exclusive";B;H6;2010;heden
59656;"C5 Tourer THP 155 Exclusive";B;A6;2010;heden
59656;"C5 Tourer THP 155 Exclusive";B;A6;2010;heden
59661;"C5 Tourer HDi 115 Attraction";D;H5;2010;2012
59660;"C5 Tourer HDi 115 Tendance";D;H5;2010;2012
59740;"C5 Tourer HDi 115 Ligne Business";D;H5;2010;2014
59740;"C5 Tourer HDi 115 Ligne Business";D;H5;2010;2014
59664;"C5 Tourer e-HDi 115 Attraction";D;A6;2010;2012
59665;"C5 Tourer e-HDi 115 Tendance";D;A6;2010;2014
75979;"C5 Tourer e-HDi 115 Collection";D;A6;2014;heden
75979;"C5 Tourer e-HDi 115 Collection";D;A6;2014;heden
59741;"C5 Tourer e-HDi 115 Ligne Business";D;A6;2010;2014
59667;"C5 Tourer HDi 160 Tendance";D;H6;2010;2014
75981;"C5 Tourer HDi 160 Collection";D;H6;2014;heden
75981;"C5 Tourer HDi 160 Collection";D;H6;2014;heden
59742;"C5 Tourer HDi 160 Ligne Business";D;H6;2010;2014
59669;"C5 Tourer HDi 200 Exclusive";D;A6;2010;heden
59671;"C5 Tourer 3.0 HDi Exclusive";D;A6;2010;2012
59671;"C5 Tourer 3.0 HDi Exclusive";D;A6;2010;2012
