id;pikk_mudel;kytus;kaigukast;alates;kuni
291;"CX 20";B;H4;1982;1985
292;"CX 20 Pallas";B;H5;1982;1985
41877;"CX 24 Pallas";B;H5;1982;1983
41877;"CX 24 Pallas";B;H5;1982;1983
41878;"CX 24 Pallas";B;A3;1982;1983
41879;"CX 24 GTI";B;H5;1982;1983
41880;"CX 24 Prestige";B;H5;1982;1983
41880;"CX 24 Prestige";B;H5;1982;1983
41881;"CX 24 Prestige";B;A3;1982;1983
618;"CX 25 Pallas";B;H5;1983;1985
619;"CX 25 Pallas";B;A3;1983;1985
619;"CX 25 Pallas";B;A3;1983;1985
620;"CX 25 GTI";B;H5;1983;1985
621;"CX 25 GTI";B;A3;1983;1985
622;"CX 25 Prestige";B;H5;1983;1985
622;"CX 25 Prestige";B;H5;1983;1985
623;"CX 25 Prestige";B;A3;1983;1985
1745;"CX 25 GTI Turbo";B;H5;1985;1985
293;"CX 25 D";D;H4;1982;1985
293;"CX 25 D";D;H4;1982;1985
624;"CX 25 RD Turbo";D;H5;1983;1985
625;"CX 25 TRD Turbo";D;H5;1983;1985
626;"CX 25 D Turbo Limousine";D;H5;1983;1985
626;"CX 25 D Turbo Limousine";D;H5;1983;1985
