id;pikk_mudel;kytus;kaigukast;alates;kuni
55302;"DS3 1.4 VTi Chic";B;H5;2010;2012
69376;"DS3 VTi 82 Chic";B;H5;2012;heden
69538;"DS3 VTi 82 Business";B;H5;2012;heden
69538;"DS3 VTi 82 Business";B;H5;2012;heden
69377;"DS3 VTi 82 So Chic";B;H5;2012;heden
74957;"DS3 e-VTi 82 Chic";B;A5;2013;heden
74958;"DS3 e-VTi 82 Business";B;A5;2013;heden
74958;"DS3 e-VTi 82 Business";B;A5;2013;heden
74959;"DS3 e-VTi 82 So Chic";B;A5;2013;heden
55305;"DS3 VTi 120 So Chic";B;H5;2010;heden
55306;"DS3 VTi 120 So Chic";B;A4;2010;heden
55306;"DS3 VTi 120 So Chic";B;A4;2010;heden
65576;"DS3 VTi 120 Ultra Prestige";B;H5;2012;heden
55308;"DS3 THP 155 Sport Chic";B;H6;2010;heden
65577;"DS3 THP 155 Ultra Prestige";B;H6;2012;heden
65577;"DS3 THP 155 Ultra Prestige";B;H6;2012;heden
62369;"DS3 THP 200 Racing";B;H6;2011;heden
55304;"DS3 HDi 70 Chic";D;H5;2010;2010
65575;"DS3 e-HDi 70 Chic";D;A5;2012;heden
65575;"DS3 e-HDi 70 Chic";D;A5;2012;heden
76308;"DS3 e-HDi 70 Business";D;A5;2014;heden
58220;"DS3 e-HDi 90 So Chic";D;H5;2010;2012
69900;"DS3 e-HDi 90 So Chic";D;H5;2012;2013
69900;"DS3 e-HDi 90 So Chic";D;H5;2012;2013
71902;"DS3 e-HDi 90 So Chic";D;H5;2013;2013
75448;"DS3 e-HDi 90 So Chic";D;H5;2013;heden
69539;"DS3 e-HDi 90 Business";D;H5;2012;2013
69539;"DS3 e-HDi 90 Business";D;H5;2012;2013
71903;"DS3 e-HDi 90 Business";D;H5;2013;2013
75449;"DS3 e-HDi 90 Business";D;H5;2013;heden
55683;"DS3 HDi 90 99g So Chic";D;H5;2010;2010
55683;"DS3 HDi 90 99g So Chic";D;H5;2010;2010
55307;"DS3 HDi 90 So Chic";D;H5;2010;2011
55309;"DS3 HDi 110 Sport Chic";D;H6;2010;2011
63564;"DS3 e-HDi 110 Sport Chic";D;H6;2011;2013
63564;"DS3 e-HDi 110 Sport Chic";D;H6;2011;2013
71456;"DS3 e-HDi 115 Sport Chic";D;H6;2013;heden
