id;pikk_mudel;kytus;kaigukast;alates;kuni
67967;"Jumpy Multispace L1H1 HDi 95 Comfort";D;H6;2012;heden
67970;"Jumpy Multispace L1H1 HDi 125 Comfort";D;H6;2012;heden
67969;"Jumpy Multispace L1H1 HDi 125 Business";D;H6;2012;heden
67969;"Jumpy Multispace L1H1 HDi 125 Business";D;H6;2012;heden
67972;"Jumpy Multispace L1H1 HDi 160 Comfort";D;H6;2012;heden
67973;"Jumpy Multispace L1H1 HDi 160 Comfort";D;A6;2012;heden
67971;"Jumpy Multispace L1H1 HDi 160 Business";D;H6;2012;heden
67971;"Jumpy Multispace L1H1 HDi 160 Business";D;H6;2012;heden
67974;"Jumpy Multispace L1H1 HDi 160 Business";D;A6;2012;heden
67975;"Jumpy Multispace L2H1 HDi 95 Comfort";D;H6;2012;heden
67977;"Jumpy Multispace L2H1 HDi 125 Comfort";D;H6;2012;heden
67977;"Jumpy Multispace L2H1 HDi 125 Comfort";D;H6;2012;heden
67976;"Jumpy Multispace L2H1 HDi 125 Business";D;H6;2012;heden
67979;"Jumpy Multispace L2H1 HDi 160 Comfort";D;H6;2012;heden
67980;"Jumpy Multispace L2H1 HDi 160 Comfort";D;A6;2012;heden
67980;"Jumpy Multispace L2H1 HDi 160 Comfort";D;A6;2012;heden
67978;"Jumpy Multispace L2H1 HDi 160 Business";D;H6;2012;heden
67981;"Jumpy Multispace L2H1 HDi 160 Business";D;A6;2012;heden
