id;pikk_mudel;kytus;kaigukast;alates;kuni
17997;"Saxo 1.1i";B;H5;1999;2002
25426;"Saxo 1.1i First";B;H5;2002;2003
17998;"Saxo 1.1i X";B;H5;1999;2002
17998;"Saxo 1.1i X";B;H5;1999;2002
25427;"Saxo 1.1i Furio";B;H5;2002;2003
17999;"Saxo 1.1i SX";B;H5;1999;2003
18000;"Saxo 1.4i SX";B;H5;1999;2002
18000;"Saxo 1.4i SX";B;H5;1999;2002
18001;"Saxo 1.4i SX";B;A3;1999;2002
18002;"Saxo 1.4i Exclusive";B;H5;1999;2000
18003;"Saxo 1.4i VTS";B;H5;1999;2002
18003;"Saxo 1.4i VTS";B;H5;1999;2002
25425;"Saxo 1.4i Furio VTS";B;H5;2002;2003
18004;"Saxo 1.6i VTS";B;H5;1999;2002
26040;"Saxo 1.6i VTS";B;H5;2002;2003
26040;"Saxo 1.6i VTS";B;H5;2002;2003
18005;"Saxo 1.6i VTS 16V";B;H5;1999;2003
18006;"Saxo 1.5 D X";D;H5;1999;2002
26579;"Saxo 1.5 D Furio";D;H5;2002;2003
26579;"Saxo 1.5 D Furio";D;H5;2002;2003
18007;"Saxo 1.5 D SX";D;H5;1999;2003
