id;pikk_mudel;kytus;kaigukast;alates;kuni
28;"Visa Special";B;H4;1981;1988
29;"Visa Club";B;H4;1981;1987
39478;"Visa L";B;H4;1981;1983
39478;"Visa L";B;H4;1981;1983
39479;"Visa Super E";B;H4;1981;1983
39480;"Visa Super X";B;H4;1981;1982
39481;"Visa Chrono";B;H5;1983;1984
39481;"Visa Chrono";B;H5;1983;1984
604;"Visa 11 E";B;H4;1983;1987
605;"Visa 11 RE";B;H4;1983;1988
1090;"Visa 14 TRS";B;H4;1984;1987
1090;"Visa 14 TRS";B;H4;1984;1987
30;"Visa 14 GT";B;H5;1981;1985
1734;"Visa GTI";B;H5;1985;1987
1091;"Visa 17 D";D;H4;1984;1987
1091;"Visa 17 D";D;H4;1984;1987
1092;"Visa 17 RD";D;H4;1984;1988
