id;pikk_mudel;kytus;kaigukast;alates;kuni
6127;"XM 2.0i";B;H5;1990;1992
7664;"XM 2.0i";B;H5;1992;1994
7665;"XM 2.0i";B;A4;1992;1994
7665;"XM 2.0i";B;A4;1992;1994
5022;"XM 2.0i Comfort";B;H5;1989;1994
5023;"XM 2.0i Comfort";B;A4;1989;1994
5024;"XM 2.0i Ambiance";B;H5;1989;1992
5024;"XM 2.0i Ambiance";B;H5;1989;1992
5025;"XM 2.0i Ambiance";B;A4;1989;1992
7666;"XM Turbo C.T. Comfort";B;H5;1992;1994
7667;"XM Turbo C.T. Ambiance";B;H5;1992;1994
7667;"XM Turbo C.T. Ambiance";B;H5;1992;1994
5026;"XM V6 Ambiance";B;H5;1989;1994
5027;"XM V6 Ambiance";B;A4;1989;1994
6128;"XM V6 Exclusive";B;A4;1990;1994
6128;"XM V6 Exclusive";B;A4;1990;1994
6129;"XM V6.24";B;H5;1990;1994
6130;"XM D12";D;H5;1990;1994
6131;"XM Turbo D12 Comfort";D;H5;1990;1994
6131;"XM Turbo D12 Comfort";D;H5;1990;1994
7668;"XM Turbo D12 Comfort";D;A4;1992;1994
6132;"XM Turbo D12 Ambiance";D;H5;1990;1994
7669;"XM Turbo D12 Ambiance";D;A4;1992;1994
7669;"XM Turbo D12 Ambiance";D;A4;1992;1994
