id;pikk_mudel;kytus;kaigukast;alates;kuni
11079;"Xantia Break 1.8i X";B;H5;1995;1998
11080;"Xantia Break 1.8i SX";B;H5;1995;1998
11081;"Xantia Break 2.0i SX";B;A4;1995;1998
11081;"Xantia Break 2.0i SX";B;A4;1995;1998
11082;"Xantia Break 2.0i 16V SX";B;H5;1995;1998
11083;"Xantia Break Turbo C.T. VSX";B;H5;1995;1998
14209;"Xantia Break 1.9 SD X";D;H5;1997;1998
14209;"Xantia Break 1.9 SD X";D;H5;1997;1998
11084;"Xantia Break 1.9 TD X";D;H5;1995;1997
11085;"Xantia Break 1.9 TD SX";D;H5;1995;1998
12512;"Xantia Break 2.1 TD SX";D;H5;1996;1998
12512;"Xantia Break 2.1 TD SX";D;H5;1996;1998
