id;pikk_mudel;kytus;kaigukast;alates;kuni
20690;"Xsara Picasso 1.6i";B;H5;2000;2002
27897;"Xsara Picasso 1.6i";B;H5;2002;2004
30887;"Xsara Picasso 1.6i Crystal";B;H5;2003;2004
30887;"Xsara Picasso 1.6i Crystal";B;H5;2003;2004
27891;"Xsara Picasso 1.6i Difference";B;H5;2003;2004
20691;"Xsara Picasso 1.8i 16V";B;H5;2000;2004
27892;"Xsara Picasso 1.8i 16V Difference";B;H5;2003;2004
27892;"Xsara Picasso 1.8i 16V Difference";B;H5;2003;2004
24941;"Xsara Picasso 1.8i 16V Exclusive";B;H5;2001;2004
27896;"Xsara Picasso 2.0i 16V";B;A4;2003;2004
27895;"Xsara Picasso 2.0i 16V Difference";B;A4;2003;2004
27895;"Xsara Picasso 2.0i 16V Difference";B;A4;2003;2004
27894;"Xsara Picasso 2.0i 16V Exclusive";B;A4;2003;2004
20692;"Xsara Picasso 2.0 HDI";D;H5;2000;2004
27893;"Xsara Picasso 2.0 HDI Difference";D;H5;2003;2004
27893;"Xsara Picasso 2.0 HDI Difference";D;H5;2003;2004
24942;"Xsara Picasso 2.0 HDI Exclusive";D;H5;2001;2004
