id;pikk_mudel;kytus;kaigukast;alates;kuni
18023;"Xsara Coupe 1.4i Deauville";B;H5;1999;2000
16246;"Xsara Coupe 1.4i";B;H5;1998;2000
16247;"Xsara Coupe 1.4i Ligne Seduction";B;H5;1998;1999
16247;"Xsara Coupe 1.4i Ligne Seduction";B;H5;1998;1999
18024;"Xsara Coupe 1.4i VTR";B;H5;1999;2000
16248;"Xsara Coupe 1.4i Ligne Prestige";B;H5;1998;2000
16249;"Xsara Coupe 1.6i";B;H5;1998;2000
16249;"Xsara Coupe 1.6i";B;H5;1998;2000
16250;"Xsara Coupe 1.6i Ligne Seduction";B;H5;1998;1999
18025;"Xsara Coupe 1.6i VTR";B;H5;1999;2000
16251;"Xsara Coupe 1.6i Ligne Prestige";B;H5;1998;2000
16251;"Xsara Coupe 1.6i Ligne Prestige";B;H5;1998;2000
18026;"Xsara Coupe 1.6i Ligne Prestige";B;A4;1999;2000
16252;"Xsara Coupe 1.8i";B;A4;1998;1999
16253;"Xsara Coupe 1.8i Ligne Seduction";B;A4;1998;1999
16253;"Xsara Coupe 1.8i Ligne Seduction";B;A4;1998;1999
16254;"Xsara Coupe 1.8i Ligne Prestige";B;A4;1998;1999
18027;"Xsara Coupe 1.8i 16V VTR";B;H5;1999;2000
16255;"Xsara Coupe 1.8i 16V Ligne Prestige";B;H5;1998;2000
16255;"Xsara Coupe 1.8i 16V Ligne Prestige";B;H5;1998;2000
16256;"Xsara Coupe 1.8i 16V VTS";B;H5;1998;1999
16257;"Xsara Coupe 2.0i 16V VTS";B;H5;1998;2000
18028;"Xsara Coupe 1.9 D Deauville";D;H5;1999;2000
18028;"Xsara Coupe 1.9 D Deauville";D;H5;1999;2000
16258;"Xsara Coupe 1.9 D";D;H5;1998;2000
16259;"Xsara Coupe 1.9 D Ligne Seduction";D;H5;1998;1999
16260;"Xsara Coupe 1.9 D Ligne Prestige";D;H5;1998;2000
16260;"Xsara Coupe 1.9 D Ligne Prestige";D;H5;1998;2000
16261;"Xsara Coupe 1.9 TD";D;H5;1998;1999
16262;"Xsara Coupe 1.9 TD Ligne Seduction";D;H5;1998;1999
18029;"Xsara Coupe 1.9 TD VTR";D;H5;1999;1999
18029;"Xsara Coupe 1.9 TD VTR";D;H5;1999;1999
16263;"Xsara Coupe 1.9 TD Ligne Prestige";D;H5;1998;1999
18030;"Xsara Coupe 2.0 HDI VTR";D;H5;1999;2000
18031;"Xsara Coupe 2.0 HDI Ligne Prestige";D;H5;1999;2000
18031;"Xsara Coupe 2.0 HDI Ligne Prestige";D;H5;1999;2000
