id;pikk_mudel;kytus;kaigukast;alates;kuni
51659;"Sandero 1.2 16V";B;H5;2009;2012
51660;"Sandero 1.2 16V Ambiance";B;H5;2009;2012
62561;"Sandero 1.2 16V Aniversare";B;H5;2011;2012
62561;"Sandero 1.2 16V Aniversare";B;H5;2011;2012
51661;"Sandero 1.2 16V Laureate";B;H5;2009;2012
56358;"Sandero 1.2 16V Black Line";B;H5;2009;2011
59787;"Sandero 1.2 16V LPG Ambiance";B;H5;2011;2012
59787;"Sandero 1.2 16V LPG Ambiance";B;H5;2011;2012
62562;"Sandero 1.2 16V LPG Aniversare";B;H5;2011;2012
59788;"Sandero 1.2 16V LPG Laureate";B;H5;2011;2012
49147;"Sandero 1.4";B;H5;2008;2010
49147;"Sandero 1.4";B;H5;2008;2010
49148;"Sandero 1.4 Ambiance";B;H5;2008;2010
49149;"Sandero 1.4 Laureate";B;H5;2008;2010
53973;"Sandero 1.4 LPG Ambiance";B;H5;2009;2011
53973;"Sandero 1.4 LPG Ambiance";B;H5;2009;2011
53974;"Sandero 1.4 LPG Laureate";B;H5;2009;2011
49151;"Sandero 1.6 Ambiance";B;H5;2008;2011
49150;"Sandero 1.6 Laureate";B;H5;2008;2011
49150;"Sandero 1.6 Laureate";B;H5;2008;2011
53462;"Sandero 1.6 Stepway";B;H5;2009;2012
63813;"Sandero 1.6 LPG Stepway";B;H5;2011;2012
67543;"Sandero 1.6 16V Stepway";B;H5;2012;2012
67543;"Sandero 1.6 16V Stepway";B;H5;2012;2012
51663;"Sandero 1.5 dCi 70 Ambiance";D;H5;2009;2011
51662;"Sandero 1.5 dCi 70 Laureate";D;H5;2009;2011
59785;"Sandero 1.5 dCi 75 Ambiance";D;H5;2011;2012
59785;"Sandero 1.5 dCi 75 Ambiance";D;H5;2011;2012
59786;"Sandero 1.5 dCi 75 Laureate";D;H5;2011;2012
