id;pikk_mudel;kytus;kaigukast;alates;kuni
25017;"Tacuma 1.6 Spirit";B;H5;2001;2004
25018;"Tacuma 1.6 Style";B;H5;2001;2004
23031;"Tacuma 1.8 Pure";B;H5;2001;2001
23031;"Tacuma 1.8 Pure";B;H5;2001;2001
20710;"Tacuma 1.8 SE";B;H5;2000;2001
20711;"Tacuma 1.8 SX";B;H5;2000;2001
20712;"Tacuma 2.0 CDX";B;H5;2000;2001
20712;"Tacuma 2.0 CDX";B;H5;2000;2001
20713;"Tacuma 2.0 CDX";B;A4;2000;2001
25020;"Tacuma 2.0 Class";B;H5;2001;2004
25019;"Tacuma 2.0 Class";B;A4;2001;2004
25019;"Tacuma 2.0 Class";B;A4;2001;2004
