id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1386;Charade;"3-deurs hatchback";1983;1985;150;Charade;0
1388;Charade;"5-deurs hatchback";1983;1985;150;Charade;0
1390;Charade;"3-deurs hatchback";1985;1987;150;Charade;0
1392;Charade;"5-deurs hatchback";1985;1987;150;Charade;0
1394;Charade;"3-deurs hatchback";1987;1994;150;Charade;19198
1396;Charade;"5-deurs hatchback";1987;1993;150;Charade;19194
1398;Charade;"4-deurs sedan";1992;1994;150;Charade;20080
1400;Charade;"3-deurs hatchback";1993;1996;150;Charade;20309
1402;Charade;"5-deurs hatchback";1993;1996;150;Charade;20314
1404;Charade;"3-deurs hatchback";1996;2001;150;Charade;21301
1406;Charade;"5-deurs hatchback";1996;2001;150;Charade;21305
3557;Charade;"5-deurs hatchback";2011;2012;150;Charade;108810
