id;pikk_mudel;kytus;kaigukast;alates;kuni
46703;"Cuore 1.0 Trend";B;H5;2007;2009
46706;"Cuore 1.0 Trend";B;A4;2007;2009
52329;"Cuore 1.0 Clever";B;H5;2009;2012
52329;"Cuore 1.0 Clever";B;H5;2009;2012
63437;"Cuore 1.0 Clever S";B;H5;2011;2013
46705;"Cuore 1.0 Premium";B;H5;2007;2009
46707;"Cuore 1.0 Premium";B;A4;2007;2009
46707;"Cuore 1.0 Premium";B;A4;2007;2009
52330;"Cuore 1.0 Comfort";B;H5;2009;2012
53968;"Cuore 1.0 Comfort";B;A4;2009;2011
60154;"Cuore 1.0 Comfort Plus";B;H5;2011;2012
60154;"Cuore 1.0 Comfort Plus";B;H5;2011;2012
60155;"Cuore 1.0 Comfort Plus";B;A4;2011;2011
63438;"Cuore 1.0 Comfort Plus S";B;H5;2011;2013
52331;"Cuore 1.0 Class";B;H5;2009;2011
52331;"Cuore 1.0 Class";B;H5;2009;2011
53969;"Cuore 1.0 Class";B;A4;2009;2011
63439;"Cuore 1.0 Class S";B;H5;2011;2013
52332;"Cuore 1.0 Cup";B;H5;2009;2011
52332;"Cuore 1.0 Cup";B;H5;2009;2011
53970;"Cuore 1.0 Cup";B;A4;2009;2011
52333;"Cuore 1.0 Complete";B;H5;2009;2011
