id;pikk_mudel;kytus;kaigukast;alates;kuni
16355;"Sirion 1.0 12V STi";B;H5;1998;2001
16356;"Sirion 1.0 12V XTi";B;H5;1998;2001
16357;"Sirion 1.0 12V XTi";B;A4;1998;2001
16357;"Sirion 1.0 12V XTi";B;A4;1998;2001
23032;"Sirion 1.0 12V CLi";B;H5;2001;2002
23033;"Sirion 1.0 12V CLi";B;A4;2001;2001
16358;"Sirion 1.0 12V RTi";B;H5;1998;2001
16358;"Sirion 1.0 12V RTi";B;H5;1998;2001
16359;"Sirion 1.0 12V RTi";B;A4;1998;2001
23034;"Sirion 1.0 12V RLi";B;H5;2001;2002
23035;"Sirion 1.0 12V RLi";B;A4;2001;2002
23035;"Sirion 1.0 12V RLi";B;A4;2001;2002
16360;"Sirion 1.0 12V ZTi";B;H5;1998;2001
16361;"Sirion 1.0 12V ZTi";B;A4;1998;2001
23036;"Sirion 1.0 12V ZLi";B;H5;2001;2002
23036;"Sirion 1.0 12V ZLi";B;H5;2001;2002
23037;"Sirion 1.0 12V ZLi";B;A4;2001;2002
20714;"Sirion 1.3 16V VTi";B;H5;2000;2002
20715;"Sirion 1.3 16V VTi";B;A4;2000;2002
20715;"Sirion 1.3 16V VTi";B;A4;2000;2002
20716;"Sirion 1.3 16V S";B;H5;2000;2002
20717;"Sirion 1.3 16V S";B;A4;2000;2002
