id;pikk_mudel;kytus;kaigukast;alates;kuni
56015;"Terios 1.5 16V DVVT 2WD Traffic";B;H5;2010;2011
56016;"Terios 1.5 16V DVVT 2WD Tour";B;H5;2010;2012
56018;"Terios 1.5 16V DVVT 2WD Tour";B;A4;2010;2012
56018;"Terios 1.5 16V DVVT 2WD Tour";B;A4;2010;2012
56020;"Terios 1.5 16V DVVT 2WD Trophy";B;H5;2010;2012
56019;"Terios 1.5 16V DVVT 2WD Trophy";B;A4;2010;2012
56022;"Terios 1.5 16V DVVT 4WD Track";B;H5;2010;2012
56022;"Terios 1.5 16V DVVT 4WD Track";B;H5;2010;2012
56021;"Terios 1.5 16V DVVT 4WD Track";B;A4;2010;2012
56023;"Terios 1.5 16V DVVT 4WD Top";B;H5;2010;2012
