id;pikk_mudel;kytus;kaigukast;alates;kuni
4420;"Prima 1.5 CLE";B;H5;1988;1991
4421;"Prima 1.5 SLE";B;H5;1988;1991
5168;"Prima 1.5 SLX";B;H5;1989;1991
5168;"Prima 1.5 SLX";B;H5;1989;1991
5169;"Prima 1.5 CLEi";B;H5;1989;1991
5170;"Prima 1.5 SLXi";B;H5;1989;1993
8690;"Prima 1.5 SLXi";B;H5;1993;1996
8690;"Prima 1.5 SLXi";B;H5;1993;1996
8691;"Prima 1.5 GLXi";B;H5;1993;1996
11318;"Prima 1.6 SLXi";B;H5;1995;1996
11319;"Prima 1.4 GLi";B;H5;1995;1996
11319;"Prima 1.4 GLi";B;H5;1995;1996
11320;"Prima 1.9 GLD";D;H5;1995;1996
