id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1609;"Grande Punto";"3-deurs hatchback";2006;2008;214;Punto;29290
1611;"Grande Punto";"5-deurs hatchback";2006;2008;214;Punto;29304
3009;"Grande Punto";"5-deurs hatchback";2008;2011;214;Punto;60925
3008;"Grande Punto";"3-deurs hatchback";2008;2011;214;Punto;91198
1636;Punto;"3-deurs hatchback";1994;1997;214;Punto;20683
1638;Punto;"5-deurs hatchback";1994;1997;214;Punto;20692
1642;Punto;"3-deurs hatchback";1997;1999;214;Punto;0
1644;Punto;"5-deurs hatchback";1997;1999;214;Punto;0
1648;Punto;"5-deurs hatchback";1999;2003;214;Punto;22803
1646;Punto;"3-deurs hatchback";1999;2003;214;Punto;22795
1650;Punto;"3-deurs hatchback";2003;2009;214;Punto;25958
1651;Punto;"5-deurs hatchback";2003;2009;214;Punto;25968
3622;Punto;"3-deurs hatchback";2012;heden;214;Punto;124561
3623;Punto;"5-deurs hatchback";2012;heden;214;Punto;121821
1634;"Punto Cabrio";"2-deurs cabriolet";1994;1997;214;Punto;20699
1640;"Punto Cabrio";"2-deurs cabriolet";1997;2000;214;Punto;0
3184;"Punto Evo";"3-deurs hatchback";2009;2012;214;Punto;82589
3185;"Punto Evo";"5-deurs hatchback";2009;2012;214;Punto;82612
