id;pikk_mudel;kytus;kaigukast;alates;kuni
16391;"Brava 1.2 16V SX";B;H5;1998;2001
20735;"Brava 1.2 16V Steel";B;H5;2000;2001
16392;"Brava 1.2 16V HSX";B;H5;1998;2001
16392;"Brava 1.2 16V HSX";B;H5;1998;2001
16393;"Brava 1.6 16V SX";B;H5;1998;2001
16394;"Brava 1.6 16V SX";B;A4;1998;2001
23061;"Brava 1.6 16V Steel";B;H5;2001;2001
23061;"Brava 1.6 16V Steel";B;H5;2001;2001
16395;"Brava 1.6 16V HSX";B;H5;1998;2001
16396;"Brava 1.6 16V ELX";B;H5;1998;2001
16397;"Brava 1.9 TD 75 SX";D;H5;1998;2001
16397;"Brava 1.9 TD 75 SX";D;H5;1998;2001
16398;"Brava 1.9 TD 100 SX";D;H5;1998;1999
18105;"Brava 1.9 JTD SX";D;H5;1999;2001
16399;"Brava 1.9 JTD HSX";D;H5;1998;2001
16399;"Brava 1.9 JTD HSX";D;H5;1998;2001
23062;"Brava 1.9 JTD SX";D;H5;2001;2001
23063;"Brava 1.9 JTD Steel";D;H5;2001;2001
23064;"Brava 1.9 JTD ELX";D;H5;2001;2001
23064;"Brava 1.9 JTD ELX";D;H5;2001;2001
