id;pikk_mudel;kytus;kaigukast;alates;kuni
55713;"Bravo 1.4 16v Actual";B;H6;2010;2012
55715;"Bravo 1.4 16v Dynamic";B;H6;2010;2012
55716;"Bravo 1.4 T-Jet 16v 120 Dynamic";B;H6;2010;2012
55716;"Bravo 1.4 T-Jet 16v 120 Dynamic";B;H6;2010;2012
55717;"Bravo 1.4 T-Jet 16v 120 Dynamic";B;A6;2010;2011
57542;"Bravo 1.4 MultiAir 16v 140 Dynamic";B;H6;2010;2011
62188;"Bravo 1.4 MultiAir 16v 140 MyLife";B;H6;2011;2012
62188;"Bravo 1.4 MultiAir 16v 140 MyLife";B;H6;2011;2012
70242;"Bravo 1.4 MultiAir 16v 140 Easy";B;H6;2012;heden
57540;"Bravo 1.4 MultiAir 16v 140 Business";B;H6;2010;2012
57541;"Bravo 1.4 MultiAir 16v 140 Sport";B;H6;2010;2012
57541;"Bravo 1.4 MultiAir 16v 140 Sport";B;H6;2010;2012
55723;"Bravo 1.4 T-Jet 16v 150 Business";B;H6;2010;2010
55718;"Bravo 1.4 T-Jet 16v 150 Sport";B;H6;2010;2010
55719;"Bravo 1.6 MultiJet 90 Business";D;H6;2010;2012
55719;"Bravo 1.6 MultiJet 90 Business";D;H6;2010;2012
64429;"Bravo 1.6 MultiJet 105 MyLife";D;H6;2012;2012
62189;"Bravo 1.6 MultiJet 105 Business";D;H6;2011;2012
55720;"Bravo 1.6 MultiJet 120 Business";D;H6;2010;2011
55720;"Bravo 1.6 MultiJet 120 Business";D;H6;2010;2011
55721;"Bravo 1.6 MultiJet 120 Business";D;A6;2010;2011
60110;"Bravo 2.0 16v MultiJet 165 Business";D;H6;2011;2011
55722;"Bravo 2.0 16v MultiJet 165 Business Sport";D;H6;2010;2011
55722;"Bravo 2.0 16v MultiJet 165 Business Sport";D;H6;2010;2011
