id;pikk_mudel;kytus;kaigukast;alates;kuni
2560;"Croma CHT";B;H5;1986;1988
2561;"Croma i.e.";B;H5;1986;1988
2562;"Croma i.e.";B;A4;1986;1988
2562;"Croma i.e.";B;A4;1986;1988
3495;"Croma i.e.";B;H5;1987;1991
3496;"Croma i.e. S";B;H5;1987;1991
3497;"Croma i.e. S";B;A4;1987;1991
3497;"Croma i.e. S";B;A4;1987;1991
3498;"Croma i.e. SL";B;H5;1987;1991
3499;"Croma i.e. SL";B;A4;1987;1991
2563;"Croma Turbo i.e.";B;H5;1986;1988
2563;"Croma Turbo i.e.";B;H5;1986;1988
3500;"Croma Turbo i.e.";B;H5;1987;1991
2564;"Croma Diesel";D;H5;1986;1989
5061;"Croma Turbo D.i.d.";D;H5;1989;1991
5061;"Croma Turbo D.i.d.";D;H5;1989;1991
2565;"Croma Turbo D";D;H5;1986;1989
5062;"Croma Turbo D";D;H5;1989;1991
