id;pikk_mudel;kytus;kaigukast;alates;kuni
23072;"Doblo 1.2 SX";B;H5;2001;2004
31726;"Doblo 1.2 Active";B;H5;2004;2005
32393;"Doblo 1.2 Active Plus";B;H5;2004;2005
32393;"Doblo 1.2 Active Plus";B;H5;2004;2005
23073;"Doblo 1.6 16v SX";B;H5;2001;2004
31727;"Doblo 1.6 16v Active";B;H5;2004;2005
32394;"Doblo 1.6 16v Active Plus";B;H5;2004;2005
32394;"Doblo 1.6 16v Active Plus";B;H5;2004;2005
23074;"Doblo 1.6 16v ELX";B;H5;2001;2004
31728;"Doblo 1.6 16v Dynamic";B;H5;2004;2005
32395;"Doblo 1.6 16v Dynamic Plus";B;H5;2004;2005
32395;"Doblo 1.6 16v Dynamic Plus";B;H5;2004;2005
31731;"Doblo 1.6 16v Family";B;H5;2004;2005
31725;"Doblo 1.6 16v Malibu";B;H5;2003;2005
31734;"Doblo 1.3 JTD Active";D;H5;2004;2005
31734;"Doblo 1.3 JTD Active";D;H5;2004;2005
32396;"Doblo 1.3 JTD Active Plus";D;H5;2004;2005
31732;"Doblo 1.3 JTD Dynamic";D;H5;2004;2005
32397;"Doblo 1.3 JTD Dynamic Plus";D;H5;2004;2005
32397;"Doblo 1.3 JTD Dynamic Plus";D;H5;2004;2005
31733;"Doblo 1.3 JTD Family";D;H5;2004;2005
23075;"Doblo 1.9 D SX";D;H5;2001;2003
23076;"Doblo 1.9 D ELX";D;H5;2001;2003
23076;"Doblo 1.9 D ELX";D;H5;2001;2003
23077;"Doblo 1.9 JTD ELX";D;H5;2001;2004
31729;"Doblo 1.9 JTD Dynamic";D;H5;2004;2005
32398;"Doblo 1.9 JTD Dynamic Plus";D;H5;2004;2005
32398;"Doblo 1.9 JTD Dynamic Plus";D;H5;2004;2005
31730;"Doblo 1.9 JTD Family";D;H5;2004;2005
