id;pikk_mudel;kytus;kaigukast;alates;kuni
66207;"Doblo Cargo 1.4 16v Actual";B;H5;2010;heden
66209;"Doblo Cargo 1.4 16v";B;H5;2010;heden
66217;"Doblo Cargo 1.4 16v SX";B;H5;2010;heden
66217;"Doblo Cargo 1.4 16v SX";B;H5;2010;heden
66210;"Doblo Cargo 1.4 T-Jet 16v";B;H5;2012;heden
66218;"Doblo Cargo 1.4 T-Jet 16v SX";B;H5;2012;heden
66216;"Doblo Cargo 1.4 T-Jet CNG";B;H6;2010;heden
66216;"Doblo Cargo 1.4 T-Jet CNG";B;H6;2010;heden
66219;"Doblo Cargo 1.4 T-Jet CNG SX";B;H6;2010;heden
66211;"Doblo Cargo 1.3 MultiJet 90 Actual";D;H5;2010;heden
66212;"Doblo Cargo 1.3 MultiJet 90";D;H5;2010;heden
66212;"Doblo Cargo 1.3 MultiJet 90";D;H5;2010;heden
66220;"Doblo Cargo 1.3 MultiJet 90 SX";D;H5;2010;heden
66213;"Doblo Cargo 1.6 MultiJet 90";D;A5;2010;heden
66221;"Doblo Cargo 1.6 MultiJet 90 SX";D;A5;2010;heden
66221;"Doblo Cargo 1.6 MultiJet 90 SX";D;A5;2010;heden
66214;"Doblo Cargo 1.6 MultiJet 105";D;H6;2010;heden
66222;"Doblo Cargo 1.6 MultiJet 105 SX";D;H6;2010;heden
66215;"Doblo Cargo 2.0 MultiJet 135";D;H6;2010;heden
66215;"Doblo Cargo 2.0 MultiJet 135";D;H6;2010;heden
66223;"Doblo Cargo 2.0 MultiJet 135 SX";D;H6;2010;heden
66225;"Doblo Cargo Maxi 1.4 16v";B;H5;2010;heden
66224;"Doblo Cargo Maxi 1.4 16v SX";B;H5;2010;heden
66224;"Doblo Cargo Maxi 1.4 16v SX";B;H5;2010;heden
66229;"Doblo Cargo Maxi 1.4 T-Jet 16v";B;H5;2012;heden
66228;"Doblo Cargo Maxi 1.4 T-Jet 16v SX";B;H5;2012;heden
66227;"Doblo Cargo Maxi 1.4 T-Jet CNG";B;H6;2010;heden
66227;"Doblo Cargo Maxi 1.4 T-Jet CNG";B;H6;2010;heden
66226;"Doblo Cargo Maxi 1.4 T-Jet CNG SX";B;H6;2010;heden
66231;"Doblo Cargo Maxi 1.3 MultiJet 90";D;H5;2010;heden
66230;"Doblo Cargo Maxi 1.3 MultiJet 90 SX";D;H5;2010;heden
66230;"Doblo Cargo Maxi 1.3 MultiJet 90 SX";D;H5;2010;heden
66233;"Doblo Cargo Maxi 1.6 MultiJet 90";D;A5;2010;heden
66232;"Doblo Cargo Maxi 1.6 MultiJet 90 SX";D;A5;2010;heden
66235;"Doblo Cargo Maxi 1.6 MultiJet 105";D;H6;2010;heden
66235;"Doblo Cargo Maxi 1.6 MultiJet 105";D;H6;2010;heden
66234;"Doblo Cargo Maxi 1.6 MultiJet 105 SX";D;H6;2010;heden
66237;"Doblo Cargo Maxi 2.0 MultiJet 135";D;H6;2010;heden
66236;"Doblo Cargo Maxi 2.0 MultiJet 135 SX";D;H6;2010;heden
66236;"Doblo Cargo Maxi 2.0 MultiJet 135 SX";D;H6;2010;heden
