id;pikk_mudel;kytus;kaigukast;alates;kuni
67317;"Ducato KH1 28 2.0 MultiJet 115 Actual";D;H5;2012;heden
67320;"Ducato KH1 30 2.0 MultiJet 115";D;H5;2012;heden
67321;"Ducato KH1 30 2.3 MultiJet 130";D;H6;2012;heden
67321;"Ducato KH1 30 2.3 MultiJet 130";D;H6;2012;heden
67322;"Ducato KH1 30 2.3 MultiJet 150";D;H6;2012;heden
67323;"Ducato KH1 30 3.0 MultiJet 180";D;H6;2012;heden
67331;"Ducato KH1 33 2.0 MultiJet 115";D;H5;2012;heden
67331;"Ducato KH1 33 2.0 MultiJet 115";D;H5;2012;heden
67330;"Ducato KH1 33 2.3 MultiJet 130";D;H6;2012;heden
67329;"Ducato KH1 33 2.3 MultiJet 150";D;H6;2012;heden
67328;"Ducato KH1 33 3.0 MultiJet 180";D;H6;2012;heden
67328;"Ducato KH1 33 3.0 MultiJet 180";D;H6;2012;heden
67339;"Ducato KH1 35 2.0 MultiJet 115";D;H5;2012;heden
67338;"Ducato KH1 35 2.3 MultiJet 130";D;H6;2012;heden
67337;"Ducato KH1 35 2.3 MultiJet 150";D;H6;2012;heden
67337;"Ducato KH1 35 2.3 MultiJet 150";D;H6;2012;heden
67336;"Ducato KH1 35 3.0 MultiJet 180";D;H6;2012;heden
67327;"Ducato KH2 30 2.0 MultiJet 115";D;H5;2012;heden
67326;"Ducato KH2 30 2.3 MultiJet 130";D;H6;2012;heden
67326;"Ducato KH2 30 2.3 MultiJet 130";D;H6;2012;heden
67325;"Ducato KH2 30 2.3 MultiJet 150";D;H6;2012;heden
67324;"Ducato KH2 30 3.0 MultiJet 180";D;H6;2012;heden
67335;"Ducato KH2 33 2.0 MultiJet 115";D;H5;2012;heden
67335;"Ducato KH2 33 2.0 MultiJet 115";D;H5;2012;heden
67334;"Ducato KH2 33 2.3 MultiJet 130";D;H6;2012;heden
67333;"Ducato KH2 33 2.3 MultiJet 150";D;H6;2012;heden
67332;"Ducato KH2 33 3.0 MultiJet 180";D;H6;2012;heden
67332;"Ducato KH2 33 3.0 MultiJet 180";D;H6;2012;heden
67343;"Ducato KH2 35 2.0 MultiJet 115";D;H5;2012;heden
67342;"Ducato KH2 35 2.3 MultiJet 130";D;H6;2012;heden
67341;"Ducato KH2 35 2.3 MultiJet 150";D;H6;2012;heden
67341;"Ducato KH2 35 2.3 MultiJet 150";D;H6;2012;heden
67340;"Ducato KH2 35 3.0 MultiJet 180";D;H6;2012;heden
67347;"Ducato MH1 30 2.0 MultiJet 115";D;H5;2012;heden
67346;"Ducato MH1 30 2.3 MultiJet 130";D;H6;2012;heden
67346;"Ducato MH1 30 2.3 MultiJet 130";D;H6;2012;heden
67345;"Ducato MH1 30 2.3 MultiJet 150";D;H6;2012;heden
67344;"Ducato MH1 30 3.0 MultiJet 180";D;H6;2012;heden
67351;"Ducato MH1 33 2.0 MultiJet 115";D;H5;2012;heden
67351;"Ducato MH1 33 2.0 MultiJet 115";D;H5;2012;heden
67350;"Ducato MH1 33 2.3 MultiJet 130";D;H6;2012;heden
67349;"Ducato MH1 33 2.3 MultiJet 150";D;H6;2012;heden
67348;"Ducato MH1 33 3.0 MultiJet 180";D;H6;2012;heden
67348;"Ducato MH1 33 3.0 MultiJet 180";D;H6;2012;heden
67355;"Ducato MH2 30 2.0 MultiJet 115";D;H5;2012;heden
67354;"Ducato MH2 30 2.3 MultiJet 130";D;H6;2012;heden
67353;"Ducato MH2 30 2.3 MultiJet 150";D;H6;2012;heden
67353;"Ducato MH2 30 2.3 MultiJet 150";D;H6;2012;heden
67352;"Ducato MH2 30 3.0 MultiJet 180";D;H6;2012;heden
67359;"Ducato MH2 33 2.0 MultiJet 115";D;H5;2012;heden
67358;"Ducato MH2 33 2.3 MultiJet 130";D;H6;2012;heden
67358;"Ducato MH2 33 2.3 MultiJet 130";D;H6;2012;heden
67357;"Ducato MH2 33 2.3 MultiJet 150";D;H6;2012;heden
67356;"Ducato MH2 33 3.0 MultiJet 180";D;H6;2012;heden
67363;"Ducato MH2 35 2.0 MultiJet 115";D;H5;2012;heden
67363;"Ducato MH2 35 2.0 MultiJet 115";D;H5;2012;heden
67362;"Ducato MH2 35 2.3 MultiJet 130";D;H6;2012;heden
