id;pikk_mudel;kytus;kaigukast;alates;kuni
12565;"Marea Weekend 1.6 16V SX";B;H5;1996;2003
12566;"Marea Weekend 1.6 16V ELX";B;H5;1996;2003
12567;"Marea Weekend 1.6 16V ELX";B;A4;1996;2003
12567;"Marea Weekend 1.6 16V ELX";B;A4;1996;2003
27131;"Marea Weekend 1.6 16V ELX St. Moritz";B;H5;2002;2003
12568;"Marea Weekend 1.8 16V ELX";B;H5;1996;2001
12569;"Marea Weekend 2.0 20V HLX";B;H5;1996;1999
12569;"Marea Weekend 2.0 20V HLX";B;H5;1996;1999
18109;"Marea Weekend 2.0 20V HLX";B;H5;1999;2003
12570;"Marea Weekend 1.9 Tds 75 SX";D;H5;1996;2001
12571;"Marea Weekend 1.9 Tds 100 ELX";D;H5;1996;1999
12571;"Marea Weekend 1.9 Tds 100 ELX";D;H5;1996;1999
20737;"Marea Weekend 1.9 JTD 105 SX";D;H5;2000;2001
18110;"Marea Weekend 1.9 JTD 105 ELX";D;H5;1999;2001
23067;"Marea Weekend 1.9 JTD SX";D;H5;2001;2003
23067;"Marea Weekend 1.9 JTD SX";D;H5;2001;2003
23068;"Marea Weekend 1.9 JTD ELX";D;H5;2001;2003
27132;"Marea Weekend 1.9 JTD ELX St. Moritz";D;H5;2002;2003
12572;"Marea Weekend 2.4 Tds 125 HLX";D;H5;1996;1999
12572;"Marea Weekend 2.4 Tds 125 HLX";D;H5;1996;1999
18111;"Marea Weekend 2.4 JTD 130 HLX";D;H5;1999;2001
