id;pikk_mudel;kytus;kaigukast;alates;kuni
2549;"Panda 750 L";B;H4;1986;1989
3489;"Panda 750 CL";B;H4;1987;1989
9744;"Panda 900 L i.e.";B;H5;1994;1997
9744;"Panda 900 L i.e.";B;H5;1994;1997
9745;"Panda 900 CLX i.e.";B;H5;1994;1997
14298;"Panda 900 Young";B;H5;1997;2001
14299;"Panda 900 Jolly";B;H5;1997;1999
14299;"Panda 900 Jolly";B;H5;1997;1999
18082;"Panda 900 Hobby";B;H5;1999;2001
2550;"Panda 1000 CL";B;H4;1986;1989
2551;"Panda 1000 S";B;H5;1986;1989
2551;"Panda 1000 S";B;H5;1986;1989
2552;"Panda 1000 4x4";B;H5;1986;1987
5041;"Panda 1000 L i.e.";B;H5;1989;1994
5042;"Panda 1000 CL i.e.";B;H5;1989;1991
5042;"Panda 1000 CL i.e.";B;H5;1989;1991
6987;"Panda 1000 CLX i.e.";B;H5;1991;1994
5043;"Panda 1000 S i.e.";B;H5;1989;1992
5044;"Panda 1000 i.e. 4x4";B;H5;1989;1992
5044;"Panda 1000 i.e. 4x4";B;H5;1989;1992
6988;"Panda 1100 Selecta i.e.";B;A1;1991;1999
9746;"Panda 1100 Trekking 4x4 i.e.";B;H5;1994;1995
23055;"Panda 1.1 Young";B;H5;2001;2003
23055;"Panda 1.1 Young";B;H5;2001;2003
23056;"Panda 1.1 Hobby";B;H5;2001;2003
27130;"Panda 1.1 Trekking 4x4";B;H5;2002;2003
