id;pikk_mudel;kytus;kaigukast;alates;kuni
18097;"Punto 1.2";B;H5;1999;2002
26051;"Punto 1.2 Active";B;H5;2002;2003
18098;"Punto 1.2 ELX";B;H5;1999;2002
18098;"Punto 1.2 ELX";B;H5;1999;2002
26056;"Punto 1.2 Dynamic";B;H5;2002;2003
18099;"Punto 1.2 16v ELX";B;H5;1999;2002
26058;"Punto 1.2 16v Dynamic";B;H5;2002;2003
26058;"Punto 1.2 16v Dynamic";B;H5;2002;2003
18100;"Punto 1.2 16v ELX Speedgear";B;A1;1999;2002
26060;"Punto 1.2 16v Dynamic Speedgear";B;A1;2002;2003
18101;"Punto 1.2 16v HLX";B;H5;1999;2002
18101;"Punto 1.2 16v HLX";B;H5;1999;2002
26062;"Punto 1.2 16v Emotion";B;H5;2002;2003
18102;"Punto 1.9 D";D;H5;1999;2002
26053;"Punto 1.9 D Active";D;H5;2002;2003
26053;"Punto 1.9 D Active";D;H5;2002;2003
18103;"Punto 1.9 JTD ELX";D;H5;1999;2002
26064;"Punto 1.9 JTD Dynamic";D;H5;2002;2003
