id;pikk_mudel;kytus;kaigukast;alates;kuni
66699;"Scudo KH1 10 1.6 MultiJet Actual";D;H5;2012;heden
66702;"Scudo KH1 10 1.6 MultiJet";D;H5;2012;heden
66705;"Scudo KH1 10 1.6 MultiJet SX";D;H5;2012;heden
66705;"Scudo KH1 10 1.6 MultiJet SX";D;H5;2012;heden
66703;"Scudo KH1 10 2.0 MultiJet 128pk";D;H6;2012;heden
66706;"Scudo KH1 10 2.0 MultiJet 128pk SX";D;H6;2012;heden
66704;"Scudo KH1 10 2.0 MultiJet 163pk SX";D;H6;2012;heden
66704;"Scudo KH1 10 2.0 MultiJet 163pk SX";D;H6;2012;heden
66707;"Scudo KH1 12 1.6 MultiJet";D;H5;2012;heden
66708;"Scudo KH1 12 1.6 MultiJet SX";D;H5;2012;heden
66709;"Scudo KH1 12 2.0 MultiJet 128pk";D;H6;2012;heden
66709;"Scudo KH1 12 2.0 MultiJet 128pk";D;H6;2012;heden
66710;"Scudo KH1 12 2.0 MultiJet 128pk SX";D;H6;2012;heden
66711;"Scudo KH1 12 2.0 MultiJet 163pk SX";D;H6;2012;heden
66712;"Scudo LH1 12 1.6 MultiJet";D;H5;2012;heden
66712;"Scudo LH1 12 1.6 MultiJet";D;H5;2012;heden
66713;"Scudo LH1 12 1.6 MultiJet SX";D;H5;2012;heden
66714;"Scudo LH1 12 2.0 MultiJet 128pk";D;H6;2012;heden
66715;"Scudo LH1 12 2.0 MultiJet 128pk SX";D;H6;2012;heden
66715;"Scudo LH1 12 2.0 MultiJet 128pk SX";D;H6;2012;heden
66716;"Scudo LH1 12 2.0 MultiJet 163pk SX";D;H6;2012;heden
66718;"Scudo LH2 12 2.0 MultiJet 128pk";D;H6;2012;heden
66717;"Scudo LH2 12 2.0 MultiJet 128pk SX";D;H6;2012;heden
66717;"Scudo LH2 12 2.0 MultiJet 128pk SX";D;H6;2012;heden
