id;pikk_mudel;kytus;kaigukast;alates;kuni
8589;"Tempra S.W. 1.4 i.e. L";B;H5;1993;1996
8590;"Tempra S.W. 1.6 i.e. S";B;H5;1993;1996
8591;"Tempra S.W. 1.6 i.e. SX";B;H5;1993;1996
8591;"Tempra S.W. 1.6 i.e. SX";B;H5;1993;1996
8592;"Tempra S.W. 1.6 i.e. SX Selecta";B;A1;1993;1996
8593;"Tempra S.W. 1.8 i.e. SLX";B;H5;1993;1996
8594;"Tempra S.W. 2.0 i.e. SX";B;A4;1993;1996
8594;"Tempra S.W. 2.0 i.e. SX";B;A4;1993;1996
8595;"Tempra S.W. 2.0 i.e. SLX";B;H5;1993;1996
8596;"Tempra S.W. 2.0 i.e. 4x4";B;H5;1993;1996
8597;"Tempra S.W. 1.9 D S";D;H5;1993;1996
8597;"Tempra S.W. 1.9 D S";D;H5;1993;1996
8598;"Tempra S.W. 1.9 TD SX";D;H5;1993;1996
